StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Prolific-ID,Q3,Q4,Q5_1,Q5_2,Q5_7,Q6,Q7,Q8,Q9,Q9_9_TEXT,Q10,Q10_11_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_7_TEXT,Q16,Q16_9_TEXT,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q33_4_TEXT,Q34,Q35,PROLIFIC_PID
2024-09-30 15:34:29,2024-09-30 15:42:05,IP Address,196.252.79.210,100,455,True,2024-09-30 15:42:05,R_88YbhZcawbjjSz4,,,,,-25.8681,25.6532,anonymous,EN,Yes,6105cde05e18eeaa7cc8b24f,"I can use AI tools via APIs such as the OpenAI API, by writing code but I cannot develop models","Yes, I use them regularly.",10,10,8,Confident,"Yes, but there are some restrictions or guidelines.","Yes, I use them regularly for my work.","ChatGPT,MidJourney",,"Generating content (e.g., text, images, code),Data analysis and insights,Enhancing productivity or workflow,Predictive analytics and forecasting,Research and development,Improving software or product development",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,3-5 hours,Speech generation,"Self-paced online courses,Hands-on practice through projects or assignments,Watching video tutorials,Other",user generated reviews,"No significant barriers,Other","I already regurlaly use ai for texts and images, however, I continoussly learn ways to do better.","Some support is provided, but it's limited.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is very important.",Somewhat satisfied,"Yes, AI has significantly improved my job satisfaction",Very comfortable,Definitely yes,Probably yes,Might or might not,Definitely yes,Information Services and Data Processing,Executive & Management,10-49 employees,"Less than â‚¬500,000",South Africa,Male,,Bachelor's degree,25-34 years old,6105cde05e18eeaa7cc8b24f
2024-09-30 15:37:53,2024-09-30 15:42:16,IP Address,105.184.55.145,100,263,True,2024-09-30 15:42:17,R_2Oxn0g9cSbZZGfI,,,,,-29.8556,31.0449,anonymous,EN,Yes,64ec8bacad2f90aba43e7ccd,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",9,4,5,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I have used them occasionally for work.",ChatGPT,,"Automating repetitive tasks,Data analysis and insights,Predictive analytics and forecasting,Research and development,Decision-making assistance",,"Yes, I see significant issues or concerns with using AI in my role.",Somewhat interested,1-3 hours,Text generation,Self-paced online courses,,Lack of access to resources or training,,"Some support is provided, but it's limited.","No, I have not participated, but such opportunities were offered within the last year.","Yes, it is somewhat important.",Somewhat satisfied,"Yes, AI has slightly improved my job satisfaction",Somewhat comfortable,Probably yes,Probably yes,Probably yes,Probably yes,Consulting,Finance & Accounting,50-100 employees,"Less than â‚¬500,000",South Africa,Male,,High school diploma or equivalent,18-24 years old,64ec8bacad2f90aba43e7ccd
2024-09-30 15:35:24,2024-09-30 15:42:16,IP Address,105.245.179.55,100,412,True,2024-09-30 15:42:17,R_2oyZvXUvYNfYLmU,,,,,-29.8556,31.0449,anonymous,EN,Yes,66a8c5455466b26e566d41c1,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",7,0,0,Somewhat confident,Iâ€™m not sure.,"No, I do not use them at work.","ChatGPT,Other",AI messager,None of the above,,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,More than 10 hours,"Text generation,Image generation,Speech generation","Instructor-led workshops or webinars,One-on-one mentoring or coaching,Watching video tutorials",,"Difficulty understanding the concepts,Uncertainty about where to start",,Iâ€™m not sure.,"No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Probably yes,Might or might not,Probably yes,Other,Sales & Marketing,Fewer than 10 employees,"Less than â‚¬500,000",South Africa,Male,,High school diploma or equivalent,18-24 years old,66a8c5455466b26e566d41c1
2024-09-30 15:35:11,2024-09-30 15:42:18,IP Address,88.135.184.236,100,426,True,2024-09-30 15:42:18,R_20uvSSkzlk123iE,,,,,50.6821,19.222,anonymous,EN,Yes,5efc71c12e8008012d01b013,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",10,3,5,Somewhat confident,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.",ChatGPT,,Research and development,,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,Less than 1 hour,"Text generation,Image generation","Instructor-led workshops or webinars,Watching video tutorials",,"Lack of time,Lack of access to resources or training,Lack of support from management or organization",,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,"Yes, AI has slightly improved my job satisfaction",Somewhat comfortable,Definitely yes,Probably yes,Might or might not,Might or might not,Other,Other,10-49 employees,I do not know,Poland,Male,,Bachelor's degree,18-24 years old,5efc71c12e8008012d01b013
2024-09-30 15:34:57,2024-09-30 15:42:22,IP Address,102.39.172.153,100,444,True,2024-09-30 15:42:22,R_8fIhODuYbSAFMZo,,,,,-25.7599,28.2604,anonymous,EN,Yes,613739035151731c1bfdb862,"I can use AI tools such as ChatGPT, but I cannot code",Rarely,5,0,0,Somewhat confident,Iâ€™m not sure.,Rarely,ChatGPT,,"Generating content (e.g., text, images, code)",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,Less than 1 hour,"Text generation,Image generation","Self-paced online courses,Instructor-led workshops or webinars",,Lack of time,,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Somewhat satisfied,"Yes, AI has significantly improved my job satisfaction",Neutral,Definitely yes,Might or might not,Definitely yes,Might or might not,Information Services and Data Processing,Administrative,10-49 employees,I do not know,South Africa,Female,,Bachelor's degree,25-34 years old,613739035151731c1bfdb862
2024-09-30 15:38:48,2024-09-30 15:42:27,IP Address,82.2.8.217,100,219,True,2024-09-30 15:42:28,R_8A8ajuZ7RhXbrxL,,,,,53.4067,-2.5637,anonymous,EN,Yes,611f6757f935f97babc092c5,I am aware of AI but I haven't used any AI tools,Rarely,2,0,0,Not very confident,"Yes, I am allowed to use it without restrictions.","No, I do not use them at work.",None of the above,,None of the above,,"No, I donâ€™t see any problems with using AI in my role.",Somewhat interested,1-3 hours,"Text generation,Image generation",Self-paced online courses,,Lack of time,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI tools are not being used in my company,Somewhat comfortable,Might or might not,Might or might not,Probably not,Probably not,"Education (K-12, College, University, Adult)",Other,10-49 employees,I do not know,United Kingdom of Great Britain and Northern Ireland,Female,,High school diploma or equivalent,55-64 years old,611f6757f935f97babc092c5
2024-09-30 15:34:57,2024-09-30 15:42:28,IP Address,196.41.194.142,100,450,True,2024-09-30 15:42:28,R_27fC3nFmUp8gB5u,,,,,-26.1047,28.0742,anonymous,EN,Yes,60cd99f1d0df72833ad4346a,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",10,2,2,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,Microsoft Copilot",,"Customer support (e.g., chatbots),Decision-making assistance",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,1-3 hours,"Image generation,Speech generation","Self-paced online courses,Watching video tutorials",,No significant barriers,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Neither satisfied nor dissatisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Probably yes,Probably not,Probably yes,"Real Estate, Rental, and Leasing",Sales & Marketing,50-100 employees,Less than â‚¬1 million,South Africa,Female,,High school diploma or equivalent,18-24 years old,60cd99f1d0df72833ad4346a
2024-09-30 15:37:27,2024-09-30 15:42:31,IP Address,41.76.101.202,100,304,True,2024-09-30 15:42:31,R_2YqAD6RMcG2tjON,,,,,-26.2309,28.0583,anonymous,EN,Yes,65e1e2736280767de86d8a69,"I can use AI tools via APIs such as the OpenAI API, by writing code but I cannot develop models","Yes, I use them regularly.",10,10,9,Confident,"Yes, but there are some restrictions or guidelines.","Yes, I use them regularly for my work.","ChatGPT,DALLÂ·E,OpenAI API,Microsoft Copilot,Jasper",,"Generating content (e.g., text, images, code),Data analysis and insights,Customer support (e.g., chatbots),Research and development,Decision-making assistance,Improving software or product development",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,1-3 hours,Text generation,"Self-paced online courses,Instructor-led workshops or webinars,One-on-one mentoring or coaching,Reading documentation or manuals,Watching video tutorials",,Fear of AI replacing jobs,,"Yes, there is sufficient support and resources for training.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is very important.",Somewhat satisfied,"Yes, AI has slightly improved my job satisfaction",Somewhat comfortable,Probably yes,Might or might not,Probably not,Probably yes,Finance and Insurance,Finance & Accounting,10-49 employees,â‚¬5 million to â‚¬10 million,South Africa,Female,,Bachelor's degree,18-24 years old,65e1e2736280767de86d8a69
2024-09-30 15:39:08,2024-09-30 15:42:32,IP Address,92.238.73.149,100,204,True,2024-09-30 15:42:33,R_2NyxcUNrFTgT56V,,,,,53.4174,-2.7093,anonymous,EN,Yes,5edf9681b8a6fc2722574db5,"I can use AI tools such as ChatGPT, but I cannot code",Rarely,8,7,0,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I have used them occasionally for work.",ChatGPT,,"Generating content (e.g., text, images, code)",,"Yes, I see significant issues or concerns with using AI in my role.",Somewhat interested,1-3 hours,"Text generation,Image generation,Speech generation","Self-paced online courses,Watching video tutorials",,"Lack of time,Lack of access to resources or training",,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,"Yes, AI has slightly improved my job satisfaction",Somewhat comfortable,Probably yes,Might or might not,Probably not,Might or might not,"Arts, Entertainment, and Recreation",Creative & Design,Fewer than 5 employees,"Less than â‚¬500,000",United Kingdom of Great Britain and Northern Ireland,Female,,Bachelor's degree,45-54 years old,5edf9681b8a6fc2722574db5
2024-09-30 15:35:34,2024-09-30 15:42:35,IP Address,41.150.219.215,100,421,True,2024-09-30 15:42:36,R_2HFBVvRU4G3uwph,,,,,-25.7599,28.2604,anonymous,EN,Yes,66a63abc075718e87dd92845,"I can use AI tools such as ChatGPT, but I cannot code",Rarely,5,0,0,Neutral,Iâ€™m not sure.,"No, I do not use them at work.",None of the above,,None of the above,,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,Less than 1 hour,"Text generation,Image generation,Speech generation","Self-paced online courses,One-on-one mentoring or coaching,Watching video tutorials",,Lack of time,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Neutral,Probably yes,Might or might not,Probably yes,Might or might not,Manufacturing and Engineering,Human Resources,50-100 employees,I do not know,South Africa,Female,,High school diploma or equivalent,45-54 years old,66a63abc075718e87dd92845
2024-09-30 15:36:20,2024-09-30 15:42:36,IP Address,41.169.79.50,100,376,True,2024-09-30 15:42:37,R_8OjdYbk9MXG6LtQ,,,,,-26.2309,28.0583,anonymous,EN,Yes,5f6a064fecc7cb03c2b61542,I am aware of AI but I haven't used any AI tools,"No, I have not used them.",3,0,0,Not very confident,Iâ€™m not sure.,"No, I do not use them at work.",None of the above,,None of the above,,Iâ€™m not sure.,Somewhat interested,3-5 hours,Image generation,"Reading documentation or manuals,Watching video tutorials",,"Lack of time,Lack of support from management or organization,Concern that AI may not be relevant to my role",,Iâ€™m not sure.,"No, I have not participated, and no such opportunities were offered in the past year.",Iâ€™m not sure.,Somewhat dissatisfied,AI tools are not being used in my company,Neutral,Probably yes,Probably yes,Probably not,Might or might not,Government and Public Administration,Administrative,50-100 employees,I do not know,South Africa,Male,,High school diploma or equivalent,25-34 years old,5f6a064fecc7cb03c2b61542
2024-09-30 15:37:39,2024-09-30 15:42:37,IP Address,62.74.11.48,100,297,True,2024-09-30 15:42:37,R_22in462KkBMUa4F,,,,,37.9842,23.7353,anonymous,EN,Yes,64e7a3594c4d37f7d0b318a6,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",10,3,3,Somewhat confident,"Yes, but there are some restrictions or guidelines.",Rarely,ChatGPT,,"Generating content (e.g., text, images, code),Enhancing productivity or workflow",,"No, I donâ€™t see any problems with using AI in my role.",Very interested,3-5 hours,"Text generation,Image generation,Speech generation","Self-paced online courses,Hands-on practice through projects or assignments,Reading documentation or manuals,Watching video tutorials",,"Lack of access to resources or training,Lack of support from management or organization",,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Neither satisfied nor dissatisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Definitely yes,Definitely yes,Probably not,Probably yes,Military,Human Resources,More than 250 employees,â‚¬10 million to â‚¬50 million,Greece,Female,,Bachelor's degree,25-34 years old,64e7a3594c4d37f7d0b318a6
2024-09-30 15:35:38,2024-09-30 15:42:39,IP Address,78.10.111.23,100,421,True,2024-09-30 15:42:40,R_2EQcfJNuEkJt1tv,,,,,51.1253,17.0432,anonymous,EN,Yes,66bcb5f17e80c39628652bff,"I can use AI tools via APIs such as the OpenAI API, by writing code but I cannot develop models","Yes, I use them regularly.",8,7,7,Confident,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.","ChatGPT,Other",leonarda.ai,"Automating repetitive tasks,Generating content (e.g., text, images, code)",,"No, I donâ€™t see any problems with using AI in my role.",Very interested,1-3 hours,Image generation,"Self-paced online courses,Watching video tutorials",,No significant barriers,,"Some support is provided, but it's limited.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is very important.",Somewhat satisfied,"Yes, AI has significantly improved my job satisfaction",Very comfortable,Definitely yes,Definitely yes,Probably not,Probably yes,"Arts, Entertainment, and Recreation",Creative & Design,Fewer than 5 employees,"Less than â‚¬500,000",Poland,Male,,Bachelor's degree,18-24 years old,66bcb5f17e80c39628652bff
2024-09-30 15:38:40,2024-09-30 15:42:42,IP Address,31.94.28.67,100,242,True,2024-09-30 15:42:43,R_8uDkO7UybYDvDpL,,,,,53.481,-2.2367,anonymous,EN,Yes,63d193a08edec060ac4c8e2c,I am aware of AI but I haven't used any AI tools,"No, I have not used them.",5,2,1,Not very confident,"Yes, but there are some restrictions or guidelines.","No, I do not use them at work.",None of the above,,None of the above,,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,1-3 hours,Text generation,"Self-paced online courses,Hands-on practice through projects or assignments,Watching video tutorials",,"Lack of time,Lack of access to resources or training,Uncertainty about where to start",,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","No, it is not very important.",Somewhat satisfied,AI tools are not being used in my company,Somewhat comfortable,Probably yes,Probably yes,Definitely not,Might or might not,Finance and Insurance,Other,Fewer than 5 employees,Less than â‚¬1 million,United Kingdom of Great Britain and Northern Ireland,Male,,Bachelor's degree,35-44 years old,63d193a08edec060ac4c8e2c
2024-09-30 15:37:48,2024-09-30 15:42:44,IP Address,102.33.124.221,100,296,True,2024-09-30 15:42:44,R_8e2kwffUQkADIyt,,,,,-25.7599,28.2604,anonymous,EN,Yes,60e9645361b411f90370a970,I have no knowledge of AI,"Yes, I use them regularly.",8,0,0,Neutral,"Yes, I am allowed to use it without restrictions.",Rarely,ChatGPT,,"Generating content (e.g., text, images, code),Data analysis and insights,Enhancing productivity or workflow",,"No, I donâ€™t see any problems with using AI in my role.",Somewhat interested,Less than 1 hour,Text generation,Self-paced online courses,,No significant barriers,,Iâ€™m not sure.,"No, I have not participated, and no such opportunities were offered in the past year.","No, it is not very important.",Somewhat dissatisfied,"Yes, AI has slightly improved my job satisfaction",Somewhat uncomfortable,Probably not,Definitely not,Definitely not,Definitely not,Manufacturing and Engineering,Administrative,101-250 employees,Less than â‚¬1 million,South Africa,Male,,High school diploma or equivalent,35-44 years old,60e9645361b411f90370a970
2024-09-30 15:39:40,2024-09-30 15:42:45,IP Address,109.202.91.52,100,185,True,2024-09-30 15:42:46,R_2PYlSaKZNRSZVS1,,,,,50.6856,13.9648,anonymous,EN,Yes,5b2be613993d7f00012a93bf,"I can use AI tools such as ChatGPT, but I cannot code",Rarely,5,4,1,Neutral,"Yes, but there are some restrictions or guidelines.",Rarely,"ChatGPT,OpenAI API",,"Automating repetitive tasks,Data analysis and insights,Research and development",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,1-3 hours,Text generation,"Self-paced online courses,Hands-on practice through projects or assignments,Watching video tutorials",,"Lack of time,Concern that AI may not be relevant to my role",,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","No, it is not very important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Might or might not,Probably not,Probably not,Retail,Operations,Fewer than 5 employees,"Less than â‚¬500,000",Czech Republic,Male,,High school diploma or equivalent,25-34 years old,5b2be613993d7f00012a93bf
2024-09-30 15:34:47,2024-09-30 15:42:47,IP Address,197.93.102.254,100,480,True,2024-09-30 15:42:48,R_8Cdhh5t6LqND7qx,,,,,-29.9056,30.9405,anonymous,EN,Yes,60e89bd16ee135094cbf23ec,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",7,0,0,Neutral,"Yes, but there are some restrictions or guidelines.","No, I do not use them at work.",None of the above,,None of the above,,"Yes, I see significant issues or concerns with using AI in my role.",Not very interested,Less than 1 hour,Image generation,Watching video tutorials,,"Lack of time,Lack of access to resources or training,Difficulty understanding the concepts",,Iâ€™m not sure.,"No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Neutral,Probably yes,Might or might not,Probably yes,Probably yes,"Arts, Entertainment, and Recreation",Creative & Design,Fewer than 5 employees,"Less than â‚¬500,000",South Africa,Female,,High school diploma or equivalent,25-34 years old,60e89bd16ee135094cbf23ec
2024-09-30 15:38:24,2024-09-30 15:42:53,IP Address,49.185.155.83,100,269,True,2024-09-30 15:42:54,R_4umQcfXLfKSHCCZ,,,,,-37.8159,144.9669,anonymous,EN,Yes,65376347d78177a9fe89f378,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",9,9,9,Confident,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.","ChatGPT,Microsoft Copilot",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Enhancing productivity or workflow,Research and development",,"No, I donâ€™t see any problems with using AI in my role.",Very interested,3-5 hours,"Text generation,Image generation,Speech generation","Self-paced online courses,Hands-on practice through projects or assignments,Reading documentation or manuals,Watching video tutorials",,"Lack of time,Lack of access to resources or training",,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Extremely satisfied,AI has no impact on my job satisfaction,Very comfortable,Definitely yes,Might or might not,Definitely not,Definitely yes,Construction,Engineering,101-250 employees,â‚¬5 million to â‚¬10 million,Australia,Male,,Master's degree,35-44 years old,65376347d78177a9fe89f378
2024-09-30 15:38:01,2024-09-30 15:42:54,IP Address,119.56.98.27,100,293,True,2024-09-30 15:42:55,R_41HSn6JWKt3HL16,,,,,1.2868,103.8503,anonymous,EN,Yes,65f063eb9c94f167f5ce37ea,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",8,3,3,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I have used them occasionally for work.","ChatGPT,Microsoft Copilot",,"Customer support (e.g., chatbots),Decision-making assistance",,"No, I donâ€™t see any problems with using AI in my role.",Very interested,I would prefer one-time learning dedication (not weekly recurring),Text generation,"Self-paced online courses,Reading documentation or manuals",,"Lack of access to resources or training,Lack of support from management or organization,Uncertainty about where to start",,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Might or might not,Probably not,Definitely yes,Hotel and Food Services,Finance & Accounting,101-250 employees,â‚¬5 million to â‚¬10 million,Singapore,Male,,High school diploma or equivalent,18-24 years old,65f063eb9c94f167f5ce37ea
2024-09-30 15:36:16,2024-09-30 15:42:55,IP Address,169.239.168.150,100,398,True,2024-09-30 15:42:56,R_2rjyZSFjdXqjUZ4,,,,,1,38,anonymous,EN,Yes,65faf814b4ed9f428e72ab64,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",6,5,6,Somewhat confident,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.","ChatGPT,OpenAI API,MidJourney",,"Generating content (e.g., text, images, code),Data analysis and insights,Customer support (e.g., chatbots),Enhancing productivity or workflow,Research and development,Decision-making assistance",,"No, I donâ€™t see any problems with using AI in my role.",Very interested,More than 10 hours,"Text generation,Speech generation","Self-paced online courses,Instructor-led workshops or webinars,Hands-on practice through projects or assignments,One-on-one mentoring or coaching,Reading documentation or manuals,Watching video tutorials",,"Lack of access to resources or training,Uncertainty about where to start",,"Yes, there is sufficient support and resources for training.","No, I have not participated, but such opportunities were offered within the last year.","Yes, it is very important.",Somewhat dissatisfied,"Yes, AI has slightly improved my job satisfaction",Very comfortable,Definitely yes,Definitely yes,Definitely not,Definitely yes,Healthcare and Pharmaceuticals,Sales & Marketing,More than 250 employees,â‚¬10 million to â‚¬50 million,Kenya,Female,,Bachelor's degree,25-34 years old,65faf814b4ed9f428e72ab64
2024-09-30 15:37:39,2024-09-30 15:43:00,IP Address,109.243.130.43,100,320,True,2024-09-30 15:43:00,R_2cpBqQ8ReYKo34R,,,,,52.2229,20.9362,anonymous,EN,Yes,650a05d42ac1a544fe1b9937,"I can use AI tools via APIs such as the OpenAI API, by writing code but I cannot develop models","Yes, I have used them occasionally.",10,10,9,Somewhat confident,"Yes, I am allowed to use it without restrictions.",Rarely,"ChatGPT,DALLÂ·E,MidJourney",,"Generating content (e.g., text, images, code),Research and development",,"Yes, I see significant issues or concerns with using AI in my role.",Neutral,3-5 hours,"Text generation,Speech generation","Self-paced online courses,Watching video tutorials",,"Lack of access to resources or training,Other",Prices of High-End GPU's,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,"No, AI has slightly decreased my job satisfaction",Neutral,Probably not,Definitely not,Probably yes,Might or might not,Software,Creative & Design,10-49 employees,I do not know,Poland,Male,,High school diploma or equivalent,18-24 years old,650a05d42ac1a544fe1b9937
2024-09-30 15:34:31,2024-09-30 15:43:04,IP Address,213.29.72.35,100,512,True,2024-09-30 15:43:04,R_83x8GODiMsIXk2w,,,,,50.0985,14.4524,anonymous,EN,Yes,66645dfa2639fc47c5bca0a6,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",7,2,0,Confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.",ChatGPT,,"Automating repetitive tasks,Generating content (e.g., text, images, code),Data analysis and insights,Research and development",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,1-3 hours,"Text generation,Image generation","Self-paced online courses,One-on-one mentoring or coaching,Watching video tutorials",,"Lack of time,Uncertainty about where to start",,"No, there is little to no support for employee training.","No, I have not participated, but such opportunities were offered within the last year.","Yes, it is very important.",Somewhat dissatisfied,"Yes, AI has slightly improved my job satisfaction",Somewhat comfortable,Might or might not,Probably yes,Definitely not,Probably yes,"Education (K-12, College, University, Adult)",Creative & Design,10-49 employees,Less than â‚¬1 million,Czech Republic,Male,,Bachelor's degree,18-24 years old,66645dfa2639fc47c5bca0a6
2024-09-30 15:37:49,2024-09-30 15:43:11,IP Address,41.150.249.166,100,321,True,2024-09-30 15:43:11,R_88KVYA9DVBWgeFH,,,,,-25.7599,28.2604,anonymous,EN,Yes,665b575713c9ec2ddbccc016,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",10,10,9,Confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,DALLÂ·E,OpenAI API,Microsoft Copilot,Jasper",,"Generating content (e.g., text, images, code),Research and development,Decision-making assistance,Improving software or product development",,"No, I donâ€™t see any problems with using AI in my role.",Very interested,More than 10 hours,"Text generation,Image generation,Speech generation","Self-paced online courses,Instructor-led workshops or webinars",,No significant barriers,,"Yes, there is sufficient support and resources for training.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is very important.",Extremely satisfied,"Yes, AI has significantly improved my job satisfaction",Very comfortable,Definitely yes,Probably yes,Might or might not,Definitely yes,Software,IT & Technical Support,50-100 employees,â‚¬1 million to â‚¬5 million,South Africa,Female,,Bachelor's degree,18-24 years old,665b575713c9ec2ddbccc016
2024-09-30 15:36:49,2024-09-30 15:43:14,IP Address,46.109.129.33,100,384,True,2024-09-30 15:43:14,R_8nYHBu8JGovo2s2,,,,,56.5128,21.0154,anonymous,EN,Yes,5715830e30185b0008b40630,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",7,4,1,Neutral,Iâ€™m not sure.,Rarely,"ChatGPT,Other",Private owned,"Data analysis and insights,Customer support (e.g., chatbots),Enhancing productivity or workflow,Decision-making assistance",,Iâ€™m not sure.,Somewhat interested,3-5 hours,"Text generation,Image generation","Self-paced online courses,Instructor-led workshops or webinars,Hands-on practice through projects or assignments,Reading documentation or manuals",,"Lack of time,Lack of access to resources or training,Lack of support from management or organization,Fear of AI replacing jobs,Uncertainty about where to start",,Iâ€™m not sure.,Iâ€™m not sure,"Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Neutral,Probably yes,Probably yes,Probably yes,Might or might not,Information Services and Data Processing,Customer Service,101-250 employees,I do not know,Latvia,Male,,Bachelor's degree,35-44 years old,5715830e30185b0008b40630
2024-09-30 15:34:42,2024-09-30 15:43:15,IP Address,196.39.131.103,100,513,True,2024-09-30 15:43:16,R_2f7CLNAZlBnq8Fz,,,,,-26.2309,28.0583,anonymous,EN,Yes,6683fce13af6e5763eed46cd,"I can use AI tools such as ChatGPT, but I cannot code","No, I have not used them.",10,10,10,Neutral,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.","ChatGPT,OpenAI API,Google Bard",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Customer support (e.g., chatbots),Personalization of products/services,Predictive analytics and forecasting,Research and development,Decision-making assistance",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,5-10 hours,"Text generation,Image generation","Self-paced online courses,Hands-on practice through projects or assignments,Reading documentation or manuals,Watching video tutorials",,"Lack of access to resources or training,Difficulty understanding the concepts",,"Yes, there is sufficient support and resources for training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,"Yes, AI has slightly improved my job satisfaction",Somewhat comfortable,Probably yes,Probably yes,Might or might not,Probably yes,Other,Sales & Marketing,Fewer than 10 employees,Less than â‚¬1 million,South Africa,Female,,Bachelor's degree,25-34 years old,6683fce13af6e5763eed46cd
