Start Time,End Time,Sentence,Emotion
"00:19:51,400","00:19:52,079","Yeah, yeah, yeah.",neutral
"00:19:52,079","00:19:54,119","She's saying we're in the buttfuck of nowhere right now, basically.",sadness
"00:19:54,119","00:19:54,480",Kind of.,neutral
"00:19:54,480","00:19:54,759",Yeah.,neutral
"00:19:54,759","00:19:58,519","I mean, the further you get away here from like a bit of the sense of Navakuta.",sadness
"00:19:58,519","00:20:01,240","Yeah, it's not as nice, you know, the pavements also not as nice.",sadness
"00:20:01,240","00:20:02,799","Looks a little bit old, definitely.",anger
"00:20:02,799","00:20:05,160","Once again, reminds me of Chelyabinsk Chims, that area.",happiness
"00:20:12,269","00:20:26,910","But yeah, this right here is the road as you can See, they're doing some construction up there, but this is the road that, you know, thousands and thousands of workers used to take every single day walk in from their apartments back there, specifically built once again for them to work and to live here.",neutral
"00:20:26,910","00:20:31,490","And this is where they walk to their steel works job, strengthening the economy of communist population.",happiness
"00:20:31,559","00:20:32,039",Bullets.,neutral
"00:20:32,839","00:20:33,519","Yeah, guys.",neutral
"00:20:33,519","00:20:37,079","I mean, we're in the God's name am I right now?",fear
"00:20:37,480","00:20:38,680",Where the am I?,sadness
"00:20:38,759","00:20:41,480","You know, this, when people think of Krakow, this is what.",neutral
"00:20:41,480","00:20:42,680",This is not what they think of.,sadness
"00:20:42,680","00:20:43,000",Right?,neutral
"00:20:43,000","00:20:46,039","But this is, you know, where my, my YouTube channel gets me.",surprise
"00:20:46,839","00:20:49,160","Places like this, pretty chill though.",happiness
"00:20:49,160","00:20:53,559","But like, this might as well be Chidabinsk, dude.",sadness
"00:20:53,960","00:20:55,240","And here it is, guys.",neutral
"00:20:55,400","00:20:57,880",Finally we made it to the edge of the world.,happiness
"00:20:58,599","00:21:00,839","I mean, basically it feels like the edge of the world here.",surprise
"00:21:00,920","00:21:09,880","But yes, this is the famous steelworks plants of Nova Huta that the entire neighborhood, or at the time city was built around.",neutral
"00:21:09,880","00:21:14,880",And right here you have the old sign saying Huta Imini Tadelza Centzmira.,neutral
"00:21:14,880","00:21:22,559","Tadela Sanzimira was actually a Polish scientist, inventor, quite a lot of patents and had a lot of impacts on mining and metallurgy.",happiness
"00:21:22,559","00:21:26,150","And yeah, as you can clearly tell right here, this is a very, very old sign.",anger
"00:21:26,150","00:21:27,789","Looks, you know, super Soviet, I'd say.",happiness
"00:21:27,789","00:21:34,910","And obviously back in the day, probably right here, it used to say, you know, khuta iminyi v Lenina, as far as I understand.",neutral
"00:21:34,990","00:21:36,630","Which is, you know, crazy to imagine.",surprise
"00:21:36,630","00:21:40,869","But yeah, this is how, you know, how far Russia got at a certain point.",neutral
"00:21:40,869","00:21:42,670",And pretty beautiful once again.,happiness
"00:21:42,670","00:21:46,990","You do have, you know, these Stalinist buildings which look like castles.",happiness
"00:21:47,069","00:21:52,269",The name was actually changed in 1990 and now this factory is part of a.,neutral
"00:21:52,589","00:21:54,910",A conglomerate called Arsalor Mittal.,neutral
"00:21:54,990","00:21:56,269","So, yeah, it has a new owner.",surprise
"00:21:56,269","00:22:08,650","Back in the day, I guess there was the people, but now everything's privatized and people still work here though, you know, so shout outs, all the hard workers who are not like me, unemployed people who walk around with a camera.",happiness
"00:22:14,329","00:22:15,049","Oh, wow.",surprise
"00:22:15,049","00:22:19,690","And here, I guess we have an old Polish SWAT truck.",neutral
"00:22:19,690","00:22:22,529","It says militia on it, which is very old.",neutral
"00:22:22,529","00:22:25,210",That's actually what we used to call police in Russia as well.,neutral
"00:22:25,210","00:22:27,609",Now it's called police in Poland Polizia.,neutral
"00:22:27,609","00:22:32,950","But yeah, back then in Soviet Warsaw Pack countries, they used to call police militia for some reason.",neutral
"00:22:32,950","00:22:40,349","Yeah, I guess this right here is one of these kinds of trucks that would punish dissent here in Poland at protests and so on.",neutral
"00:22:40,349","00:22:42,869","And yeah, I'm not going to lie, it looks terrifying.",fear
"00:22:43,509","00:22:46,549","Look at this thing, man, this is like a tank.",happiness
"00:22:46,950","00:22:51,029","And now it's here rusting away, no longer posing any threat to anybody.",happiness
"00:22:55,029","00:22:56,950","All right guys, we've come a long way.",happiness
"00:22:57,829","00:22:58,950","Very, very long way.",neutral
"00:22:59,109","00:23:00,789","Very tired, super tired.",sadness
"00:23:00,789","00:23:02,710",We're here on the edge of the earth right now.,neutral
"00:23:02,710","00:23:07,069","So once again, like in every vlog, it is time to finish it all with a bit of Polish food.",happiness
"00:23:07,069","00:23:15,029",And we're actually gonna go to a very authentic place that still supposedly has all the communist interiors and everything that factory workers used to go to eat.,happiness
"00:23:15,029","00:23:16,630",So let's check it out.,neutral
"00:23:18,069","00:23:19,390","Alright guys, and here we are.",neutral
"00:23:19,390","00:23:21,910",Welcome to the old place called Stillwa.,neutral
"00:23:21,910","00:23:24,640",You see this is the old school cafe.,neutral
"00:23:24,640","00:23:25,920",They even have columns here.,neutral
"00:23:25,920","00:23:30,799","And yeah, here they have a bunch of pictures of old Nova Ghuta inside the building.",happiness
"00:23:35,839","00:23:37,519",Everything is very authentic to the time.,happiness
"00:23:38,000","00:23:41,279","Again, this is a picture of the square that we started at the very beginning.",neutral
"00:23:41,279","00:23:42,720",That's where we started filming today.,neutral
"00:23:45,359","00:23:49,240","And yes, they even have old comrade Lenin right here.",happiness
"00:23:49,640","00:23:57,319","And the picture here that shows that the Indz did have a statue of Lenin before here actually right across from here, right here.",neutral
"00:23:57,400","00:24:05,960","Probably if you sat here, if you ate back in the day, in the 80s here or whatever, you would see Vladimir Lenin standing proudly or whatever from this exact window here.",neutral
"00:24:05,960","00:24:10,039","And yeah, here they have even a little statue of the guy, he had swag.",happiness
"00:24:10,039","00:24:11,000","What can I say, man?",sadness
"00:24:11,240","00:24:16,720","Oh yeah, and here you have a picture of the old sign next to the factory saying Huta.",neutral
"00:24:23,519","00:24:25,640","All right, gamers finally got some food.",happiness
"00:24:25,640","00:24:28,240","First of all, having a Polish beer called Zivec.",neutral
"00:24:29,039","00:24:29,680",Good stuff.,happiness
"00:24:29,680","00:24:30,240",Pretty good.,happiness
"00:24:32,000","00:24:35,240","Which is perfect after this long day, man, I'm tired as hell.",happiness
"00:24:35,240","00:24:39,920","But yeah, I got some sort of kind of like a schnitzel type thing with a bit of cabbage and potatoes.",neutral
"00:24:39,920","00:24:43,980",Classic Polish meal in a classic Polish cafe.,happiness
"00:24:43,980","00:24:44,779",Let's try it.,neutral
"00:24:48,539","00:24:49,099","I mean, man.",neutral
"00:24:49,099","00:24:49,900","Yeah, it's pretty good.",happiness
"00:24:49,900","00:24:50,619",What can I say?,sadness
"00:24:50,619","00:24:52,339","I have nothing to complain about, honestly.",happiness
"00:24:52,339","00:24:56,778",What's quite funny is that this place actually has a 3.9 rating on Google Maps.,surprise
"00:24:56,859","00:24:57,819",So why?,sadness
"00:24:57,900","00:24:58,859",I don't really understand.,sadness
"00:24:59,099","00:25:02,059","I think it's, it deserves like a four out of five at least.",happiness
"00:25:02,059","00:25:04,940","Maybe it's just the Westoids, okay, that are coming to this place.",neutral
"00:25:04,940","00:25:07,019","Like, oh my God, I'm gonna get the Soviet experience.",surprise
"00:25:07,180","00:25:11,180","And then for some reason they're not happy with how responsive the, the waiters are.",anger
"00:25:11,180","00:25:11,539",Whatever.,neutral
"00:25:11,539","00:25:12,519",Or like with food.,neutral
"00:25:12,519","00:25:14,119","I don't know, man, I think it's pretty good.",neutral
"00:25:14,279","00:25:18,319","Maybe I'm just, maybe, maybe I just have low standards as a Russian who knows though.",sadness
"00:25:18,319","00:25:22,119","But yeah, this place still over gets a like for me.",sadness
"00:25:25,400","00:25:26,279","All right, guys.",neutral
"00:25:26,279","00:25:27,880","Finally has some food, some beer.",happiness
"00:25:27,880","00:25:28,519",Feeling good.,happiness
"00:25:28,519","00:25:29,880",Feeling very relieved.,happiness
"00:25:29,960","00:25:32,200",Should I say I'm still hungry.,neutral
"00:25:32,200","00:25:32,759","Yeah, she.",neutral
"00:25:32,759","00:25:34,279",She only got a salad for some.,neutral
"00:25:39,579","00:25:40,220","Yeah, I just finished.",neutral
"00:25:41,259","00:25:42,180",I just ate it all.,neutral
"00:25:42,180","00:25:43,019","Yeah, it was good.",happiness
"00:25:43,339","00:25:47,660","I hope you guys enjoyed a little vlog in Nova Huta, the communist utopia of Poland.",happiness
"00:25:47,660","00:25:48,940","It was really, really nice.",happiness
"00:25:48,940","00:25:50,700","You know, a lot of homey vibes.",happiness
"00:25:52,380","00:25:55,180","If you guys enjoyed this video, please make sure to slap the like on it.",happiness
"00:25:55,180","00:25:59,700",Subscribe to the channel if you're new and also check out some of my other Poland videos that I've uploaded here.,neutral
"00:25:59,700","00:26:05,500","I've recorded a bunch of different vlogs and once again, guys, do not forget this video is sponsored by private Internet access.",neutral
"00:26:05,740","00:26:11,799",Visit piavpn.com nfkrz and get 83% off that 2.3 dollars a month.,happiness
"00:26:11,799","00:26:14,119",Plus you also get 4 additional months for free.,neutral
"00:26:14,200","00:26:16,359",Huge thanks to PIA for sponsoring this video.,happiness
"00:26:16,680","00:26:19,359",Hopefully you guys enjoyed joining us on this beautiful day.,happiness
"00:26:19,359","00:26:22,440","And yeah, we'll see you guys in the next one.",neutral
"00:26:22,839","00:26:23,400",Peace.,happiness
