Start Time,End Time,Sentence
31:53.490,31:55.310,¿Nico te enamoró con un libro?
31:55.730,32:05.476,"Nico me enamoró con sus valores y sí, Sandra, con muchos libros, no con un hielo."
32:05.508,32:06.932,Me parece un nerdental.
32:06.996,32:25.060,"Yo he estado en la villa, en mi villa, porque mi familia, mis chicos, nuestros solteros que se portan como señores, hemos tenido fiestas, han jugado y Ruth ha estado ahí para decir no, pero no por él, sino porque pienso en mí."
32:25.140,32:26.480,Digo eso a mí no me gusta.
32:27.580,32:28.468,Los valores.
32:28.644,32:30.280,Conquistame de otra manera.
32:34.690,32:40.030,"¿Ruth, hay más imágenes para ti?"
32:42.210,32:43.470,Más hielito.
32:44.290,32:46.430,Más hielito para que el niño se refresque.
32:47.730,32:49.034,"Yo te lo he dicho, tía."
32:49.082,32:50.830,"Yo pensé que es un niño, tía."
32:52.930,32:54.154,Y es un crío.
32:54.282,32:56.178,"Marca la puta diferencia, tío."
32:56.194,32:57.538,"Marca la diferencia, tío."
32:57.554,32:58.466,"Márcala, tío."
32:58.498,32:59.590,Márcala.
33:08.330,33:09.202,Mira qué bonito.
33:09.266,33:09.874,La complicidad.
33:09.922,33:11.830,Mira los novios.
33:20.970,33:25.848,"No, pésala ya si quieres."
33:26.024,33:27.160,Sí que quieres.
33:27.240,33:29.112,Así me lo hacía a mí cuando me conoció.
33:29.176,33:29.944,Pésala.
33:29.992,33:34.392,Mira si es como se me olvida.
33:34.456,33:38.540,Todo está bien conmigo.
33:42.000,33:42.900,Yo también.
33:53.660,33:56.404,"Tanta caricia, chingo, me replanteo cosas."
33:56.532,34:08.400,"La posibilidad de irme solo pues qué bien, porque eso pues muy bien."
34:12.940,34:18.308,"Muchas veces duele más eso, tío, que todo lo demás."
34:18.404,34:20.390,"¿Que ahora se aman, todo, no?"
34:27.650,34:29.230,"Madre mía, tío."
34:30.130,34:31.710,"Qué rabia, tío."
34:33.970,34:35.790,"Me muevo con estas cosas, tío."
34:36.130,34:37.390,Es un falso.
34:40.370,34:46.350,Es un falso de los pies a la cabeza.
34:47.819,34:49.319,Es un falso.
34:52.939,34:54.679,Esa chica le gusta de verdad.
34:55.819,34:57.399,¿Por qué estás tan segura?
34:58.219,35:04.515,"Las miradas, la caricia, como la trata, como le habla, los besos."
35:04.547,35:06.119,Se muere por besarla.
35:08.859,35:10.679,"Me quiero ir, Sandra."
35:14.240,35:18.040,Yo no puedo estar pensando aquí en otra persona.
35:18.120,35:26.792,"Yo tengo que pensar en mí, con lo que tú vales de verdad."
35:26.936,35:29.048,"No me quiero ir a mi casa, tío."
35:29.144,35:30.184,No puedo más.
35:30.272,35:33.100,¿Es que te tienes que hacer muerte para ver la verdad?
35:34.480,35:36.216,Tú también te mereces una aplicación.
35:36.328,35:41.074,"Y si la vas y te la ve y que si la caga, que la cague con toda."
35:41.202,35:43.186,"Porque si sales con esto, lo perdona."
35:43.378,35:43.938,Exactamente.
35:44.034,35:45.030,Porque no hay nada.
35:45.370,35:46.530,Entonces esto se perdona.
35:46.610,35:48.754,Pero déjale haber hasta dónde llega.
35:48.802,35:49.682,Déjale que se equivoque.
35:49.746,35:50.950,Se va a arrepentir.
35:53.290,35:59.030,"¿Ruth, no hay más imágenes para ti?"
36:02.490,36:06.466,Que Nico se plantee irse solo me parece ya lo último que me faltaba por oír.
36:06.498,36:08.738,Me regaló los oídos de que yo era la mujer de su vida.
36:08.794,36:10.034,Ni la isla podía con nosotros.
36:10.082,36:16.270,"Y a la vista está que mira, ni la última hoguera, la tercera hoguera ya me dice que se plantea irse solo."
36:22.650,36:26.310,"Marieta, es tu turno."
36:28.090,36:34.128,Estar separada de Álex está ayudándote a conocer una parte de ti que hasta ahora no habías descubierto.
36:34.254,36:43.500,"Te sientes más libre, estás dejándote llevar con Sergio y viviendo la hora sin pensar demasiado en lo que está ocurriendo en la otra villa."
36:43.660,36:48.284,Pero esta noche me has dicho que estás pensando más que nunca en Álex.
36:48.412,36:49.148,"Sí, Sandra."
36:49.164,36:52.000,Para mí venir aquí es un choque con la realidad.
36:53.220,36:58.748,"Yo me acuerdo muchas veces de Álex, aunque parezca que no, lo llevo más para adentro."
36:58.924,37:11.100,"Y la luz roja yo espero, de verdad, Sandra, te lo digo de corazón, que la luz roja que sonó después de la segunda hoguera no sea de mi novio."
37:12.000,37:13.096,¿Por qué?
37:13.248,37:15.180,Porque sería por despecho.
37:15.600,37:17.944,No quiero una persona despechada en mi vida.
37:18.112,37:21.300,"Quiero una persona que haga las cosas de corazón, como las hago yo."
37:21.600,37:23.672,Que haga lo correcto de corazón.
37:23.736,37:25.160,Que pienses de corazón.
37:25.240,37:27.164,Que te acuestes con alguien de corazón.
37:27.352,37:29.120,De despecho no.
37:30.380,37:35.960,"Marieta, hay imágenes de Álex para ti."
37:36.380,37:38.804,¿Quieres verla sola o con tus compañeras?
37:38.932,37:39.780,Con ellas.
37:39.860,37:44.708,"Adelante, Ana."
37:44.724,37:45.348,¿Preparadas?
37:45.444,37:45.844,Fuerte.
37:45.892,37:46.580,Vale.
37:46.740,37:48.916,"Yo lo siento por cómo reaccioné, de verdad."
37:48.988,38:07.460,"No, que no pidas perdón todo el rato, que estás súper mal acostumbrada a pedir perdón por todo lo que has por favor."
38:18.930,38:20.430,"Qué asco, tía."
38:21.970,38:23.870,"Está besando a mi novio, tío."
38:26.930,38:29.390,"Esa chica está besando a mi novio, tía."
38:31.650,38:32.810,"Madre mía, tía."
38:32.890,38:33.994,Ese es mi novio.
38:34.122,38:40.714,"¿Pero por qué no fluye ahí en su momento, tía?"
38:40.762,38:42.430,"Ese es mi novio, tío."
38:42.930,38:44.590,"Directo, muy directo."
38:52.810,38:54.658,Qué vergüenza al final.
38:54.714,38:55.474,¿Qué quieres?
38:55.602,38:57.666,"¿Qué quieres, hija mía?"
38:57.858,38:59.042,Es lo que hay.
38:59.226,39:00.350,Es lo que hay.
39:01.290,39:02.546,Me siento aquí y lo parto.
39:02.578,39:11.520,"Sí, estaba claro, tío."
39:12.900,39:14.320,E ir de Río.
39:19.940,39:21.520,Es que el asco verlo.
39:26.500,39:27.948,"¿Qué ocurre, Marieta?"
39:28.124,39:29.372,"Qué puto asco, tío."
39:29.436,39:30.480,Qué vergüenza.
39:31.220,39:33.372,Es que es el primer chico que presento en mi casa.
39:33.476,39:36.044,"El primero con el que pasa un San Valentín, una Nochevieja."
39:36.172,39:39.160,Es que es ese chico al que le está comiendo las tetas a una.
39:40.420,39:43.036,"Es que le está dando lo que yo no le doy, guarreo."
39:43.148,39:44.280,Es que es eso.
39:44.900,39:46.476,Es que a mí no se me ve así.
39:46.548,39:54.764,"No, que tenemos momentos puntuales porque somos personas, pero es que no, es que en todos los vídeos de todas lo veo haciendo guarreo."
39:54.812,39:57.916,"No lo he visto todavía sentado en el sofá, teniendo una conversación."
39:58.028,39:59.200,No lo he visto.
39:59.940,40:02.458,"Pero Marieta, tú también te has dejado llevar."
40:02.564,40:04.850,"Ya, Sandra, pero yo tengo una conexión."
40:05.430,40:07.374,Es que yo me entiendo con la mirada.
40:07.502,40:09.086,Es que es una persona que me cuida.
40:09.198,40:11.406,Es que no estamos todo el día guarreando.
40:11.598,40:13.630,Nosotros nos relacionamos con los compañeros.
40:13.710,40:15.390,Es que Sergio me escucha.
40:15.470,40:16.526,Es que me cuida.
40:16.638,40:19.630,"¿Sandra, crees que Gabriela no está cuidando de Álex?"
40:19.710,40:22.702,"No, Gabriela está esperando lo que está esperando."
40:22.766,40:24.430,¿Crees que nos entienden con la mirada?
40:24.510,40:27.070,"No, no he visto ninguna mirada."
40:27.230,40:29.750,Solo he visto las lenguas entrelazadas.
40:30.650,40:35.510,"Marieta, hay más imágenes para ti."
40:38.090,40:38.994,Es que me da vergüenza.
40:39.042,40:40.546,Es que no me sale ni llorar.
40:40.658,40:46.786,"Me da vergüenza haberle presentado a este señor a mi padre, si se le puede llamar señor vergüenza de a él, y que se haya sentado en el sofá de mi padre."
40:46.818,40:48.242,"Me da vergüenza, tío."
40:48.386,40:49.510,Me da vergüenza.
40:50.330,40:53.670,"Es que no me quiero poner nerviosa, pero ya me va a salir nervio."
41:01.150,41:03.318,¿Creo que están qué tal?
41:03.374,41:03.718,Follando.
41:03.734,41:04.390,Ahí están ya.
41:04.430,41:04.838,Ahí.
41:04.934,41:07.130,Esto no me voy a acercar ni a verlo.
41:10.190,41:12.566,"Ay, por favor, por favor."
41:12.678,41:13.414,Ya lo tenemos.
41:13.462,41:14.570,"Ay, por favor."
41:17.470,41:18.370,Ya está.
41:47.270,41:48.078,Tu puta madre.
41:48.094,41:48.930,Me cago.
41:50.470,41:51.730,Madre mía.
41:52.710,41:53.854,"Madre mía, tío."
41:53.902,41:55.630,"Qué vergüenza, chaval."
41:55.710,41:56.910,Qué vergüenza.
41:57.070,41:58.610,Qué vergüenza.
41:59.430,42:00.558,Qué vergüenza.
42:00.654,42:02.862,"Sandra, de verdad, es que no te puedo ni mirar a la cara."
42:02.926,42:04.050,Qué vergüenza.
42:05.510,42:07.118,Que esto lo va a ver la gente.
42:07.214,42:08.610,Qué vergüenza.
42:09.510,42:11.982,Es que no ha ido ni despacito a la primera.
42:12.046,42:12.628,Hay todo.
42:12.734,42:14.020,Te lo voy a dar todo.
42:23.520,42:24.904,"Qué va, tío, qué va."
42:24.992,42:26.680,¿Esto que es una broma o qué?
42:26.800,42:28.776,¿A mí que me están vacilando o qué?
42:28.928,42:30.472,La puta Gabriela de los cojones.
42:30.536,42:32.860,"Me cago en la hostia puta, tío."
42:35.120,42:36.140,¿Es tu novio?
42:37.200,42:38.180,Ella no.
42:39.270,42:40.610,Facilón.
42:41.270,42:44.610,"Es que es un facilón, Sandra, tío, es que es un pacilón."
42:45.510,42:49.570,¿Por qué crees que Alex se ha dejado llevar con Gabriela de este modo?
42:49.990,42:51.438,Porque ha visto mi beso.
42:51.534,42:55.598,"Además, es que eso no además, llegar de la hoguera, acción reacción."
42:55.614,42:58.290,"Llegó y le dijo mi novia se ha dado un beso, vente para acá."
42:58.870,43:01.646,"Es que me quedo loca, de verdad, me quedo loca."
43:01.758,43:03.250,Y yo parándome.
43:04.880,43:07.208,¿Crees que él ha cruzado más límites que tú?
43:07.304,43:11.112,"Sí, es que yo no me he puesto a guarrear delante de todo."
43:11.216,43:15.736,Ni me he puesto a guarrear en las hamacas ni nada.
43:15.768,43:17.480,Yo sí he tenido que guarrear.
43:17.560,43:20.780,Lo he hecho en mi cama y encima he hecho poco.
43:21.440,43:23.500,¿Cómo vas a actuar a partir de ahora?
43:24.000,43:25.544,¿Cómo estoy haciéndolo?
43:25.672,43:27.500,A mí Sergio me gusta.
43:28.320,43:31.086,"Sergio saca lo mejor de mí, Sandra."
43:31.278,43:33.970,Y voy a dejarme llevar.
43:35.670,43:40.050,"Ruth, ver las imágenes de Marieta te han hecho recapacitar."
43:40.710,43:45.850,"Le tendré que pedir disculpas en su vida y momento, cuando hable con él, por pensar que fue él."
43:46.470,43:50.570,"Y como ya me ha quedado tocada, no quiero indagar más."
43:52.710,43:58.168,"¿Marieta, no hay más imágenes para ti?"
43:58.344,43:59.940,No se podían haber más.
44:00.640,44:04.620,"Pero Sandra le ha hecho lo mismo que me hace a mí, el mismo polvo."
44:06.160,44:07.592,Ni ha innovado.
44:07.736,44:09.736,¿Y tú has innovado con Sergio?
44:09.928,44:19.848,"Pues sí, algo diferente, por lo menos a las tío, cuando veo a Álex en ese contexto de guarreo, la verdad que no lo identifico."
44:19.944,44:21.248,"O sea, conmigo no es así."
44:21.344,44:29.220,Creo que es el Alex que no me quiere enseñar o no me ha querido enseñar en este año y medio y el que yo muchas veces le he pedido que me enseñara.
44:31.560,44:35.940,"Chicas, la hoguera aún no ha terminado."
44:39.080,44:41.140,Este es el collar del veto.
44:42.760,44:51.302,Con él vais a poder vetar a una de las solteras durante 24 h para que no pueda mantener ningún tipo de contacto con vuestros novios.
44:51.446,44:55.622,Va a tener que abandonar la villa durante todo un día.
44:55.806,45:00.650,Y además es una oportunidad para mandar un mensaje a vuestros novios.
45:02.670,45:08.810,"Chicas, os dejo un tiempo para que decidáis qué soltera vais a vetar."
45:10.990,45:13.856,"La tuya, que es la más heavy, que va va de chulita."
45:13.888,45:17.136,"Hay que darle un poquito de yo, evidentemente, vetaría a Adriela."
45:17.168,45:19.008,"Tía, a mí lo que digáis."
45:19.104,45:25.060,"Obviamente, quiero vetar a Gabriela porque me gustaría que Alex se acordara de mí en algún momento."
45:25.800,45:26.992,Hay que darle un freno.
45:27.136,45:29.024,"Frena un poquito, Gabriela."
45:29.072,45:37.280,"¿Entonces, igualmente, tenéis claro a qué soltera queréis vetar durante 24 h?"
45:37.360,45:40.430,"Sí, sí, María."
45:40.930,45:45.706,Vamos a vetar a Gabriela porque es la que está más avanzada.
45:45.818,45:51.018,"Y para mandarle también un mensaje a Alex, un poco un toque de atención, porque se está pasando la raya ya."
45:51.074,45:53.578,Y que se merece un castigo.
45:53.754,45:59.510,"Marieta, me gustaría ver si en esas 24 h echa más de menos a Gabriela o a mí."
46:01.570,46:03.962,"Chicas, acabáis de tomar una decisión."
46:04.026,46:06.878,Gabriela va a recibir el collar del Veto.
46:07.054,46:11.170,Eso quiere decir que abandonará vía playa durante 24 h.
46:11.590,46:23.890,"Pero por primera vez en la Isla de las Tentaciones, el Veto os va a dar el poder de enfrentaros cara a cara con la tentación."
46:26.070,46:27.054,No lo entiendo.
46:27.182,46:27.774,No entendemos.
46:27.822,46:28.206,Sandra.
46:28.238,46:31.232,Nos quedamos todas como muy pronto lo entenderéis.
46:31.286,46:34.908,"Chicas, ahora sí, la hoguera ha terminado."
46:34.924,46:36.092,Podéis marcharos.
46:36.236,46:36.716,Gracias.
46:36.748,46:37.440,Gracias.
46:39.540,46:42.620,"Ya, por favor, a casa, porque Buenas noches."
46:42.780,46:44.240,"Gracias, Sandra."
46:45.300,46:46.268,Yo no puedo más.
46:46.324,46:47.436,"De verdad os lo digo, tío."
46:47.468,46:48.600,Yo no puedo más.
46:48.900,46:50.956,"No sé, la verdad que me he quedado rayadísima."
46:50.988,46:52.332,No sé a qué se refería.
46:52.396,46:55.260,"¿Será lo de que ha entrado una chica nueva, no?"
46:55.380,46:59.526,O que cuando a ver si la beta ni la van a mandar a casa.
46:59.718,47:00.966,Me he quedado bastante rayada.
47:00.998,47:02.726,No sé a lo que nos vamos a enfrentar.
47:02.918,47:06.010,Espero que no sea ponerme delante a Gabriela.
47:23.040,47:30.260,"Vayámonos de acá, a nuestro lugar feliz al lado del mar."
47:31.920,47:36.216,Contigo no me falta bastante.
47:36.248,47:37.460,"Mal, muy mal."
47:44.000,47:44.920,"Tela, tela."
47:45.000,47:47.720,"Que empiece Nico, que es lo más flipante."
47:47.800,47:50.296,"Mismo plan que la anterior, que era, pero peor."
47:50.408,47:51.768,Ya es de mala persona.
47:51.944,47:59.256,"Empezó a poner voz de niño y niño Mi amor, cógete un librito y te prendes, que las islas Canarias son volcanes, no sé qué, metiéndose conmigo."
47:59.368,48:02.552,Está hablando de mí como si yo me hubiera follado aquí a las 10.
48:02.616,48:04.728,"Pues qué lástima, hijo, que no lo hayas hecho."
48:04.824,48:12.344,"Y ya para terminar de rematar, le ha dicho que Mariona es una tentación para ella, que le sigue."
48:12.392,48:15.950,"¿Sí, sí, pero a tu novia alguna vez había estado con chicas?"
48:16.080,48:19.186,"No, no, espera."
48:19.298,48:22.898,Acabo de cortocircuitar la mía.
48:22.994,48:23.794,Sigue en su línea.
48:23.842,48:28.370,"Se ha metido con el chaval para la habitación, se la ha tirado y poco más."
48:28.490,48:29.218,¿Y tú qué?
48:29.274,48:36.498,"Yo le he pegado una pata, un cogonero, una antorcha de esas y pongo más."
48:36.634,48:38.786,"O sea, que las alarmas rojas eran por ella."
48:38.818,48:39.298,Una era mía.
48:39.314,48:40.514,1 era suya.
48:40.642,48:41.750,¿Cómo que tuya?
48:43.140,48:44.320,La de la noche.
48:44.980,48:46.524,¿Cómo qué ha hecho?
48:46.572,48:48.588,¿Se ha llevado al chaval a la cama?
48:48.764,48:49.676,"No, no."
48:49.828,48:51.244,Le ha propuesto ir a dormir.
48:51.292,48:53.500,Y ahí se han acabado las imágenes.
48:53.580,48:56.156,Yéndose a dormir a la cama por la noche.
48:56.268,48:56.764,Sí.
48:56.812,48:58.920,Y luego ha dicho otra cosa también.
48:59.380,49:05.164,"Que no aguanta la relación a distancia, que le está superando y que no le costaría dejarlo."
49:05.212,49:07.800,Que se lo tengo que dejar y ya está.
49:09.760,49:10.968,Fuera el abrigo.
49:11.064,49:11.980,"¿Y tú, David?"
49:12.560,49:12.872,¿Yo?
49:12.896,49:14.472,Mi novia ha vuelto a cambiar de soltero.
49:14.536,49:15.704,Ya le metió a Álvaro.
49:15.752,49:16.792,Álvaro Beuys.
49:16.856,49:20.460,"No, no te creo que está Álvaro aquí."
49:21.600,49:22.620,¿No te preocup?
49:23.200,49:24.136,La verdad que me preocupa.
49:24.168,49:28.780,"-10 si tenía un 1 % de duda de que podía caer con el italiano, ahora ya tengo cero."
49:29.200,49:34.172,"Brujita, las mías han sido más preocupantes que la última vez."
49:34.256,49:35.844,Sí que se va acercando más.
49:35.932,49:37.796,Está muy cerca aquí y tal.
49:37.868,49:39.956,Todo el rato ahí y poco más.
49:40.028,49:45.108,"Y luego nos han dicho de vetar a uno, que me han vetado Álvaro, los cabrones."
49:45.124,49:46.040,Yo no quería.
49:46.460,49:49.400,Pobre chico que acaba de llevar.
49:50.540,49:56.356,Hemos vetado a Álvaro porque tanto Adrián como yo queremos ver hasta dónde llegan nuestras novias.
49:56.468,49:59.156,La de Nico no tiene sentido porque no hay acercamiento.
49:59.268,50:02.220,"Y Álex, su novia Marietta ya ha caído."
50:09.920,50:10.952,Buenas.
50:11.096,50:12.360,"Hola, niños."
50:12.440,50:13.112,Hola.
50:13.256,50:14.100,¿Qué tal?
50:14.400,50:15.940,Os veo bien a todos.
50:17.760,50:18.840,¿Quién empieza?
50:19.000,50:20.872,"Venga, Mariona, que quiero escucharla, por favor."
50:20.936,50:24.300,"A ver, Adri ha cambiado de soltera."
50:25.360,50:31.768,"Ahora está con Mónica y le veo conexión, cosa que no me esperaba."
50:31.864,50:38.460,Y ha dicho algo tipo de que nunca se había planteado ser infiel hasta ahora.
50:39.280,50:42.120,Ha dicho David.
50:42.280,50:44.184,Pues David en su línea.
50:44.312,50:46.088,Tonterías con Zaira.
50:46.184,50:51.976,Pero lo que me ha dolido es que ella ha entrado a la habitación de él y se ha puesto a jugar con el peluche.
50:52.008,50:54.862,Que vaya falta de respeto.
50:55.006,50:59.890,"Yo espero que cuando vea esas imágenes la ponga en su sitio, porque si no vamos a tener un problema."
51:00.870,51:01.598,¿Y tú qué?
51:01.654,51:02.878,Guarreo tras guarreo.
51:02.894,51:04.350,En todos los vídeos se ve por detrás.
51:04.430,51:06.382,"Guarreo, guarreo."
51:06.446,51:07.730,No he visto una mirada.
51:08.150,51:09.710,Son las imágenes que hemos visto.
51:09.790,51:10.450,Sí.
51:11.030,51:12.910,Habéis visto vosotras en la colina.
51:13.070,51:14.366,¿Era de su novia?
51:14.398,51:15.570,"Sí, del Polva."
51:17.920,51:20.792,Borja sigue con sus faltas de respeto.
51:20.856,51:22.888,Sigue sin poner ningún tipo de límites.
51:22.904,51:26.140,Y le ha dicho a Andrea que está al borde del precipicio.
51:26.560,51:27.544,¿Tú qué?
51:27.712,51:28.056,Nada.
51:28.088,51:31.192,"El mío sigue igual, con su hielito, contento, feliz."
51:31.256,51:32.712,Se ha visto una complicidad de locos.
51:32.776,51:35.608,Se le notaban unas ganas de besarla heavy.
51:35.784,51:40.648,"Y lo más heavy de todo es que me has hecho replantearme cosas, como irme."
51:40.664,51:42.904,¿Solo ha dicho eso?
51:43.072,51:44.154,¿Tienes otra?
51:44.312,51:45.050,Sí.
51:46.350,51:47.046,"Espera, espera."
51:47.078,51:47.574,Otra cosa.
51:47.622,51:49.290,Nos han hecho vetar a alguien.
51:53.470,51:56.150,"Gabriela, la tuya."
51:56.310,51:56.870,¿Para qué?
51:56.910,51:58.006,Déjalo que se ponga a prueba.
51:58.038,51:58.614,No lo vetes.
51:58.662,51:59.190,Déjalo.
51:59.270,52:00.490,Conócelo.
52:01.150,52:04.550,"Por favor, solteros, les pido una fiesta a la altura."
52:04.630,52:10.170,Y quiero hoy esta villa arriba como villa Playboy.
52:12.430,52:14.324,Después de esta huela estoy un poco mejor.
52:14.412,52:16.948,Por fin he podido ver imágenes y ya no estoy congelada.
52:17.044,52:22.564,Es verdad que sigo viendo imágenes que no son de mi agrado y me sigo decepcionando un poquito más cada vez.
52:22.652,52:26.292,Pero vengo con ganas de pasármelo bien con mi villa montaña.
52:26.356,52:31.320,Eso tiene el tatuaje de una gran desilusión.
52:32.620,52:38.200,"Dijiste que la querías, pero en el amo no se pone condición."
52:40.280,52:42.368,Te enamoraste.
52:42.544,52:46.180,Que no la supiste amar es evidente.
52:46.600,52:49.540,Pero el que se equivoca se arrepiente.
52:50.600,52:55.616,Te será difícil olvidarla si la miras a los ojos.
52:55.728,53:00.016,Ya María sabe.
53:00.048,53:01.540,"Para el bachata, tú."
53:01.880,53:03.540,"¿Qué está hablando, Álvaro?"
53:04.120,53:06.032,María no quiere saber nada de mí.
53:06.136,53:06.980,Tiene miedo.
53:07.370,53:09.090,Si yo miedo le tengo a la muerte.
53:09.170,53:09.790,Ven.
53:10.250,53:15.426,"Pues ven, Álvaro."
53:15.458,53:16.190,Que no.
53:17.130,53:17.938,¿Qué te pasa?
53:18.034,53:18.950,Que no quiero.
53:26.330,53:28.818,David y yo tenemos muchísima confianza.
53:28.914,53:33.630,Pero me da miedo el acercarme a Álvaro porque puede haber imágenes que no le gusta.
53:33.740,53:40.110,Porque al final ha sido una persona que ha estado en mi vida y a mí no me gustaría que fuese al revés.
53:48.690,53:52.698,Y David con su sonrisa de oreja a oreja hoy no tenía sonrisa.
53:52.794,53:54.250,La hoguera lleva una picada.
53:54.330,53:54.986,"No, a mí no."
53:55.058,53:56.310,Las imágenes está así.
53:58.610,54:01.776,"A ver, porque sí, pero está picadísimo, bro."
54:01.848,54:04.768,"Y aquí viene del palo de que no, pero ahí estaba igual."
54:04.784,54:06.020,Pero ahí estaba igual.
54:06.360,54:07.808,Se te anto los ojos.
54:07.984,54:08.480,Sí.
54:08.560,54:09.696,Te da cero miedo.
54:09.808,54:10.496,Cero miedo.
54:10.528,54:14.112,¿Me da la cosilla hasta de que se han liado decir me cago en su Sabes?
54:14.256,54:15.700,Pero no me da miedo.
54:16.120,54:17.248,Más rabia que miedo.
54:17.344,54:17.616,Claro.
54:17.648,54:21.568,"Es más, juntos y han claro, claro, claro."
54:21.664,54:28.266,"Han tenido una historieta, pero miedo no, porque le ha hablado 200 veces fuera que va a cerrar adentro."
54:28.298,54:28.906,No creo.
54:29.018,54:30.602,Muy pocas luces tenía que traer.
54:30.666,54:31.258,Es lista.
54:31.354,54:32.458,Confío porque es lista.
54:32.554,54:34.586,Dicen que donde hubo fuego quedan cenizas.
54:34.618,54:36.426,Pero eso es porque no sabían que yo era el bombero.
54:36.458,54:38.590,Y donde yo estoy de bombero no hay cenizas.
54:41.010,54:43.210,Es que yo no sé qué ha podido verte Louro para que hable así.
54:43.250,54:47.226,Y va de vas de niña buena y hablas así de mí.
54:47.338,54:48.314,Es que no tiene sentido.
54:48.362,54:49.514,Ninguno tiene ningún sentido.
54:49.562,54:53.530,Se le está yendo la pinza y creo que lo podía solucionar.
54:54.910,54:58.850,"Se hablaron las cosas bien, vale, pero es que sé que ya no es así."
54:59.470,55:00.630,Se va a poner pum.
55:00.710,55:01.174,A full.
55:01.222,55:03.398,Y ya no voy a consentir encima que hables así de mí.
55:03.494,55:05.170,Que venga y te pongas así.
55:05.870,55:07.050,Niña floja.
55:08.190,55:11.686,Vine aquí teniendo una confianza al 100 % en Ruth.
55:11.798,55:14.774,Siempre pensé que era la mujer con la que quería pasar mi futuro.
55:14.822,55:16.502,Y me he sentido engañado.
55:16.566,55:38.016,¿Me pongo a pensar y digo con quien llevo un año de relación puedo entrar?
55:38.208,55:45.390,"He hecho una cosa, como una especie de anillo."
55:46.530,55:47.946,¿Y por qué te escondes?
55:47.978,55:48.442,¿Qué pasa?
55:48.546,55:49.790,Yo echa mano.
55:55.410,55:56.670,Huele a ti.
56:00.210,56:12.920,"¿Me quito el de Nico y me pongo el aquí no, aquí esta otra hora pasa esto te va a decir te quieres venirte conmigo a París?"
56:14.140,56:14.884,Yo lo guardo.
56:14.932,56:18.500,"Lo voy a guardar aquí, mira, con mis cosas especiales."
56:18.580,56:19.076,Y esto.
56:19.148,56:19.924,Toma por culo.
56:19.972,56:20.532,Hoy.
56:20.676,56:21.316,¿Te ha gustado?
56:21.348,56:21.844,Me ha encantado.
56:21.892,56:22.068,Sí.
56:22.084,56:22.760,Honor.
56:23.420,56:24.724,Me ha encantado un montón.
56:24.852,56:25.748,"Mucho, mucho, mucho."
56:25.884,56:27.076,De aquí a París.
56:27.188,56:30.004,"Esto sí, no, si tú quieres."
56:30.132,56:31.012,Si tú quieres.
56:31.076,56:32.164,"No, si tú quieres."
56:32.212,56:32.788,Por eso.
56:32.844,56:33.332,Yo quiero.
56:33.396,56:34.120,Seguro.
56:34.630,56:36.050,¿Me vas a llevar a París?
56:37.910,56:40.974,"Miguel me ha regalado un anillo bastante peculiar, además."
56:41.022,56:41.534,Y grande.
56:41.582,56:46.238,Y es verdad que me ha sacado una sonrisa después de lo mal que lo he pasado en la hoguera.
56:46.414,56:50.942,"Esa falda chiquitita, qué bonita te queda."
56:51.086,56:53.374,La veía todos los días.
56:53.502,57:04.380,"Ahora cuando Escúchame bien, hoy no tengo la cabeza paces, pero sí que podemos dormir juntos."
57:05.200,57:08.568,Es injusto que me acueste hoy contigo después de lo que he visto.
57:08.664,57:11.016,"Es injusto para ti, es injusto para mí."
57:11.168,57:16.312,"Si yo ahora voy, me acuesto contigo, aparece que es despecho y no le voy a dar gusto a nadie."
57:16.376,57:17.832,¿Entonces qué hará?
57:17.976,57:19.500,¿Dormir contigo?
57:20.640,57:26.060,"Pero dormir Quiero tu compañía, quiero hablar, quiero que me cuides."
57:26.460,57:28.628,O dormimos juntito y te doy calor.
57:28.724,57:31.108,"Si quieres dormir conmigo, puedes dormir."
57:31.284,57:32.452,Yo no te obligo.
57:32.516,57:34.596,"Si quieres dormir conmigo, puedes dormir."
57:34.708,57:36.360,Tienes el cuadro libre.
57:38.060,57:39.240,Sería un placer.
57:40.300,57:42.840,Lo vi en una película y siempre quise hacerlo.
57:43.260,57:44.760,Quise hacerlo.
57:46.060,57:48.100,Esta noche me voy a dormir con Sergio.
57:48.180,57:51.204,Solo vamos a dormir porque necesito ese apoyo.
57:51.252,57:52.590,Necesito necesito ese cariño.
57:55.570,57:57.470,Necesito una noche tranquila.
58:05.010,58:06.990,"Nada, no sentía nada."
58:07.570,58:09.850,"Rabia, cariño mío, rabia, obviamente."
58:10.010,58:15.750,"Pero vamos, que solo me apetecía venirme para acá y verte la cara esa que tiene."
58:22.490,58:26.338,Lo peor es que todo eso lo ha dicho sin ver nada.
58:26.514,58:29.890,"¿O sea, se ha follado sin ver nada, verdad?"
58:29.970,58:30.658,Claro.
58:30.834,58:32.914,Digamos que le ha estado exactamente igual.
58:33.042,58:35.506,"Sí, no se la suda desde el primer momento."
58:35.538,58:36.642,Como el que vaya a llover.
58:36.706,58:42.728,"A mí me jode porque me la vendiste también de decir joder, tío, es que me siento hasta mal, en plan si es que claro, yo al lado de ella soy una fresca."
58:42.794,58:48.880,"Por lo que yo pensaba que es verdad que somos diferentes, pero yo eso no lo haría tampoco."
58:49.860,58:51.564,"Más te vale, cariño mío."
58:51.612,58:52.604,Yo estoy muy caro.
