Start Time,End Time,Sentence,Translation
32:05.508,32:06.932,Me parece un nerdental.,I think it's a nerd.
32:06.996,32:25.060,"Yo he estado en la villa, en mi villa, porque mi familia, mis chicos, nuestros solteros que se portan como señores, hemos tenido fiestas, han jugado y Ruth ha estado ahí para decir no, pero no por él, sino porque pienso en mí.","I have been to the village, to my village, because my family, my boys, our bachelors who behave like lords, we have had parties, they have played and Ruth has been there to say no, but not for him, but because I think of myself."
32:25.140,32:26.480,Digo eso a mí no me gusta.,I say that to myself I don't like it.
32:27.580,32:28.468,Los valores.,Values.
32:28.644,32:30.280,Conquistame de otra manera.,Conquer me otherwise.
32:34.690,32:40.030,"¿Ruth, hay más imágenes para ti?","Ruth, are there any more images for you?"
32:42.210,32:43.470,Más hielito.,More ice.
32:44.290,32:46.430,Más hielito para que el niño se refresque.,More ice so the child cools down.
32:47.730,32:49.034,"Yo te lo he dicho, tía.","I told you, Auntie."
32:49.082,32:50.830,"Yo pensé que es un niño, tía.","I thought it was a boy, Auntie."
32:52.930,32:54.154,Y es un crío.,And he's a kid.
32:54.282,32:56.178,"Marca la puta diferencia, tío.","Make a fucking difference, man."
32:56.194,32:57.538,"Marca la diferencia, tío.","Make a difference, man."
32:57.554,32:58.466,"Márcala, tío.","Mark it, man."
32:58.498,32:59.590,Márcala.,Mark it.
33:08.330,33:09.202,Mira qué bonito.,Look how pretty it is.
33:09.266,33:09.874,La complicidad.,The complicity.
33:09.922,33:11.830,Mira los novios.,Look at the boyfriends.
33:20.970,33:25.848,"No, pésala ya si quieres.","No, catch it if you want."
33:26.024,33:27.160,Sí que quieres.,"Yes, you do."
33:27.240,33:29.112,Así me lo hacía a mí cuando me conoció.,That's how he did it to me when he met me.
33:29.176,33:29.944,Pésala.,Hit it.
33:29.992,33:34.392,Mira si es como se me olvida.,See if it's how I forget.
33:34.456,33:38.540,Todo está bien conmigo.,It's all right with me.
33:42.000,33:42.900,Yo también.,Me too.
33:53.660,33:56.404,"Tanta caricia, chingo, me replanteo cosas.","So much caress, chingo, I think about things."
33:56.532,34:08.400,"La posibilidad de irme solo pues qué bien, porque eso pues muy bien.","The possibility of leaving alone is good, because that is very good."
34:12.940,34:18.308,"Muchas veces duele más eso, tío, que todo lo demás.","It hurts a lot more, man, than anything else."
34:18.404,34:20.390,"¿Que ahora se aman, todo, no?","They love each other now, don't they?"
34:27.650,34:29.230,"Madre mía, tío.","Oh, my God, man."
34:30.130,34:31.710,"Qué rabia, tío.","What a rage, man."
34:33.970,34:35.790,"Me muevo con estas cosas, tío.","I'm moving with these things, man."
34:36.130,34:37.390,Es un falso.,He's a fake.
34:40.370,34:46.350,Es un falso de los pies a la cabeza.,He's a fake from head to toe.
34:47.819,34:49.319,Es un falso.,He's a fake.
34:52.939,34:54.679,Esa chica le gusta de verdad.,She really likes that girl.
34:55.819,34:57.399,¿Por qué estás tan segura?,Why are you so sure?
34:58.219,35:04.515,"Las miradas, la caricia, como la trata, como le habla, los besos.","The looks, the caress, the way he treats her, the way he talks to her, the kisses."
35:04.547,35:06.119,Se muere por besarla.,She's dying to kiss her.
35:08.859,35:10.679,"Me quiero ir, Sandra.","I want to go, Sandra."
35:14.240,35:18.040,Yo no puedo estar pensando aquí en otra persona.,I can't be thinking of someone else here.
35:18.120,35:26.792,"Yo tengo que pensar en mí, con lo que tú vales de verdad.","I have to think of myself, with what you really are worth."
35:26.936,35:29.048,"No me quiero ir a mi casa, tío.","I don't want to go home, man."
35:29.144,35:30.184,No puedo más.,I can't do it anymore.
35:30.272,35:33.100,¿Es que te tienes que hacer muerte para ver la verdad?,Do you have to die to see the truth?
35:34.480,35:36.216,Tú también te mereces una aplicación.,"You deserve an app, too."
35:36.328,35:41.074,"Y si la vas y te la ve y que si la caga, que la cague con toda.","And if you go and see her, and if she screws up, fuck her up."
35:41.202,35:43.186,"Porque si sales con esto, lo perdona.","Because if you go out with this, forgive him."
35:43.378,35:43.938,Exactamente.,Exactly.
35:44.034,35:45.030,Porque no hay nada.,'Cause there's nothing.
35:45.370,35:46.530,Entonces esto se perdona.,Then this is forgiven.
35:46.610,35:48.754,Pero déjale haber hasta dónde llega.,But let him be as far as he goes.
35:48.802,35:49.682,Déjale que se equivoque.,Let him make a mistake.
35:49.746,35:50.950,Se va a arrepentir.,He'll regret it.
35:53.290,35:59.030,"¿Ruth, no hay más imágenes para ti?","Ruth, no more pictures for you?"
36:02.490,36:06.466,Que Nico se plantee irse solo me parece ya lo último que me faltaba por oír.,Nico's thought of leaving alone seems to me the last thing I needed to hear.
36:06.498,36:08.738,Me regaló los oídos de que yo era la mujer de su vida.,He gave me the ears that I was the woman of his life.
36:08.794,36:10.034,Ni la isla podía con nosotros.,Even the island couldn't afford us.
36:10.082,36:16.270,"Y a la vista está que mira, ni la última hoguera, la tercera hoguera ya me dice que se plantea irse solo.",The third bonfire already tells me that he is planning to leave alone.
36:22.650,36:26.310,"Marieta, es tu turno.","Marieta, it's your turn."
36:28.090,36:34.128,Estar separada de Álex está ayudándote a conocer una parte de ti que hasta ahora no habías descubierto.,Being separated from Álex is helping you to know a part of you that you had not discovered until now.
36:34.254,36:43.500,"Te sientes más libre, estás dejándote llevar con Sergio y viviendo la hora sin pensar demasiado en lo que está ocurriendo en la otra villa.","You feel freer, you are letting yourself go with Sergio and living the hour without thinking too much about what is happening in the other village."
36:43.660,36:48.284,Pero esta noche me has dicho que estás pensando más que nunca en Álex.,But tonight you told me you're thinking more of Alex than ever before.
36:48.412,36:49.148,"Sí, Sandra.","Yes, Sandra."
36:49.164,36:52.000,Para mí venir aquí es un choque con la realidad.,For me to come here is a clash with reality.
36:53.220,36:58.748,"Yo me acuerdo muchas veces de Álex, aunque parezca que no, lo llevo más para adentro.","I remember Alex many times, even if it seems not, I take him further inside."
36:58.924,37:11.100,"Y la luz roja yo espero, de verdad, Sandra, te lo digo de corazón, que la luz roja que sonó después de la segunda hoguera no sea de mi novio.","And the red light, I really hope, Sandra, I tell you from the heart, that the red light that sounded after the second bonfire is not my boyfriend's."
37:12.000,37:13.096,¿Por qué?,Why?
37:13.248,37:15.180,Porque sería por despecho.,'Cause it would be out of spite.
37:15.600,37:17.944,No quiero una persona despechada en mi vida.,I don't want a person in my life to be offended.
37:18.112,37:21.300,"Quiero una persona que haga las cosas de corazón, como las hago yo.","I want a person to do things from the heart, as I do."
37:21.600,37:23.672,Que haga lo correcto de corazón.,Let him do the right thing from the heart.
37:23.736,37:25.160,Que pienses de corazón.,May you think heartily.
37:25.240,37:27.164,Que te acuestes con alguien de corazón.,Sleep with someone with a heart.
37:27.352,37:29.120,De despecho no.,Not in spite of it.
37:30.380,37:35.960,"Marieta, hay imágenes de Álex para ti.","Marieta, there are images of Alex for you."
37:36.380,37:38.804,¿Quieres verla sola o con tus compañeras?,Do you want to see her alone or with your companions?
37:38.932,37:39.780,Con ellas.,With them.
37:39.860,37:44.708,"Adelante, Ana.","Go ahead, Ana."
37:44.724,37:45.348,¿Preparadas?,Ready?
37:45.444,37:45.844,Fuerte.,Strong.
37:45.892,37:46.580,Vale.,Okay.
37:46.740,37:48.916,"Yo lo siento por cómo reaccioné, de verdad.","I'm sorry for how I reacted, really."
37:48.988,38:07.460,"No, que no pidas perdón todo el rato, que estás súper mal acostumbrada a pedir perdón por todo lo que has por favor.","No, don't ask for forgiveness all the time, you're super sick used to asking for forgiveness for everything you've done please."
38:18.930,38:20.430,"Qué asco, tía.","Gross, Auntie."
38:21.970,38:23.870,"Está besando a mi novio, tío.","He's kissing my boyfriend, man."
38:26.930,38:29.390,"Esa chica está besando a mi novio, tía.","That girl is kissing my boyfriend, Auntie."
38:31.650,38:32.810,"Madre mía, tía.","Oh, my God, Auntie."
38:32.890,38:33.994,Ese es mi novio.,That's my boyfriend.
38:34.122,38:40.714,"¿Pero por qué no fluye ahí en su momento, tía?","But why doesn't it flow there in due course, Auntie?"
38:40.762,38:42.430,"Ese es mi novio, tío.","That's my boyfriend, man."
38:42.930,38:44.590,"Directo, muy directo.","Direct, very direct."
38:52.810,38:54.658,Qué vergüenza al final.,Shame on you in the end.
38:54.714,38:55.474,¿Qué quieres?,What do you want?
38:55.602,38:57.666,"¿Qué quieres, hija mía?","What do you want, my child?"
38:57.858,38:59.042,Es lo que hay.,That's what it is.
38:59.226,39:00.350,Es lo que hay.,That's what it is.
39:01.290,39:02.546,Me siento aquí y lo parto.,I sit here and give it up.
39:02.578,39:11.520,"Sí, estaba claro, tío.","Yeah, I was clear, man."
39:12.900,39:14.320,E ir de Río.,And go to Rio.
39:19.940,39:21.520,Es que el asco verlo.,It's just that it sucks to see him.
39:26.500,39:27.948,"¿Qué ocurre, Marieta?","What is it, Marieta?"
39:28.124,39:29.372,"Qué puto asco, tío.","That's fucking disgusting, man."
39:29.436,39:30.480,Qué vergüenza.,Shame on you.
39:31.220,39:33.372,Es que es el primer chico que presento en mi casa.,It's just that he's the first guy I'm presenting at my house.
39:33.476,39:36.044,"El primero con el que pasa un San Valentín, una Nochevieja.","The first one to have a Valentine's Day, a New Year's Eve."
39:36.172,39:39.160,Es que es ese chico al que le está comiendo las tetas a una.,It's just that guy who's eating one's tits.
39:40.420,39:43.036,"Es que le está dando lo que yo no le doy, guarreo.","He's just giving him what I don't give him, bitch."
39:43.148,39:44.280,Es que es eso.,It's just that.
39:44.900,39:46.476,Es que a mí no se me ve así.,It just doesn't look like that to me.
39:46.548,39:54.764,"No, que tenemos momentos puntuales porque somos personas, pero es que no, es que en todos los vídeos de todas lo veo haciendo guarreo.","No, that we have punctual moments because we are people, but it is that no, it is that in all the videos of all I see him doing dirty."
39:54.812,39:57.916,"No lo he visto todavía sentado en el sofá, teniendo una conversación.","I haven't seen him still sitting on the couch, having a conversation."
39:58.028,39:59.200,No lo he visto.,I haven't seen him.
39:59.940,40:02.458,"Pero Marieta, tú también te has dejado llevar.","But Marieta, you've gotten carried away, too."
40:02.564,40:04.850,"Ya, Sandra, pero yo tengo una conexión.","Yeah, Sandra, but I have a connection."
40:05.430,40:07.374,Es que yo me entiendo con la mirada.,It's just that I understand myself with my eyes.
40:07.502,40:09.086,Es que es una persona que me cuida.,It's just a person who takes care of me.
40:09.198,40:11.406,Es que no estamos todo el día guarreando.,It's just that we're not messing around all day.
40:11.598,40:13.630,Nosotros nos relacionamos con los compañeros.,We relate to the companions.
40:13.710,40:15.390,Es que Sergio me escucha.,It's just that Sergio listens to me.
40:15.470,40:16.526,Es que me cuida.,It's just that he takes care of me.
40:16.638,40:19.630,"¿Sandra, crees que Gabriela no está cuidando de Álex?","Sandra, do you think Gabriela isn't taking care of Alex?"
40:19.710,40:22.702,"No, Gabriela está esperando lo que está esperando.","No, Gabriela's waiting for what she's waiting for."
40:22.766,40:24.430,¿Crees que nos entienden con la mirada?,Do you think they understand us with their eyes?
40:24.510,40:27.070,"No, no he visto ninguna mirada.","No, I haven't seen any eyes."
40:27.230,40:29.750,Solo he visto las lenguas entrelazadas.,I've only seen the tongues interlocking.
40:30.650,40:35.510,"Marieta, hay más imágenes para ti.","Marieta, there are more images for you."
40:38.090,40:38.994,Es que me da vergüenza.,It's just that I'm embarrassed.
40:39.042,40:40.546,Es que no me sale ni llorar.,I just can't even cry.
40:40.658,40:46.786,"Me da vergüenza haberle presentado a este señor a mi padre, si se le puede llamar señor vergüenza de a él, y que se haya sentado en el sofá de mi padre.","I am ashamed to have introduced this lord to my father, if you may call him a lord of shame, and to have sat on my father's couch."
40:46.818,40:48.242,"Me da vergüenza, tío.","I'm embarrassed, man."
40:48.386,40:49.510,Me da vergüenza.,I'm ashamed of you.
40:50.330,40:53.670,"Es que no me quiero poner nerviosa, pero ya me va a salir nervio.","I just don't want to get nervous, but I'm going to get nerve."
41:01.150,41:03.318,¿Creo que están qué tal?,I think they're all right?
41:03.374,41:03.718,Follando.,Fucking.
41:03.734,41:04.390,Ahí están ya.,There they are.
41:04.430,41:04.838,Ahí.,There.
41:04.934,41:07.130,Esto no me voy a acercar ni a verlo.,I'm not going anywhere near it.
41:10.190,41:12.566,"Ay, por favor, por favor.","Oh, please, please."
41:12.678,41:13.414,Ya lo tenemos.,We've got it.
41:13.462,41:14.570,"Ay, por favor.","Oh, please."
41:17.470,41:18.370,Ya está.,That's it.
41:47.270,41:48.078,Tu puta madre.,Your fucking mother.
41:48.094,41:48.930,Me cago.,"Oh, shit."
41:50.470,41:51.730,Madre mía.,"Oh, my God."
41:52.710,41:53.854,"Madre mía, tío.","Oh, my God, man."
41:53.902,41:55.630,"Qué vergüenza, chaval.","Shame on you, kid."
41:55.710,41:56.910,Qué vergüenza.,Shame on you.
41:57.070,41:58.610,Qué vergüenza.,Shame on you.
41:59.430,42:00.558,Qué vergüenza.,Shame on you.
42:00.654,42:02.862,"Sandra, de verdad, es que no te puedo ni mirar a la cara.","Sandra, really, I can't even look you in the face."
42:02.926,42:04.050,Qué vergüenza.,Shame on you.
42:05.510,42:07.118,Que esto lo va a ver la gente.,That this is going to be seen by the people.
42:07.214,42:08.610,Qué vergüenza.,Shame on you.
42:09.510,42:11.982,Es que no ha ido ni despacito a la primera.,It's just that he didn't even go slowly to the first one.
42:12.046,42:12.628,Hay todo.,There's everything.
42:12.734,42:14.020,Te lo voy a dar todo.,I'll give you everything.
42:23.520,42:24.904,"Qué va, tío, qué va.","Not at all, man, not at all."
42:24.992,42:26.680,¿Esto que es una broma o qué?,This is a joke or what?
42:26.800,42:28.776,¿A mí que me están vacilando o qué?,I'm being hesitant or what?
42:28.928,42:30.472,La puta Gabriela de los cojones.,Fucking Gabriela.
42:30.536,42:32.860,"Me cago en la hostia puta, tío.","Holy shit, man."
42:35.120,42:36.140,¿Es tu novio?,Is he your boyfriend?
42:37.200,42:38.180,Ella no.,Not her.
42:39.270,42:40.610,Facilón.,Facilitating.
42:41.270,42:44.610,"Es que es un facilón, Sandra, tío, es que es un pacilón.","It's just that he's an easy one, Sandra, man, he's a pacilon."
42:45.510,42:49.570,¿Por qué crees que Alex se ha dejado llevar con Gabriela de este modo?,Why do you think Alex got carried away with Gabriela like this?
42:49.990,42:51.438,Porque ha visto mi beso.,'Cause you've seen my kiss.
42:51.534,42:55.598,"Además, es que eso no además, llegar de la hoguera, acción reacción.","Moreover, that is not to say, coming from the bonfire, reaction action."
42:55.614,42:58.290,"Llegó y le dijo mi novia se ha dado un beso, vente para acá.","""He came and said to him, ""My girlfriend has kissed herself, come here."""
42:58.870,43:01.646,"Es que me quedo loca, de verdad, me quedo loca.","It's just that I'm going crazy, really, I'm going crazy."
43:01.758,43:03.250,Y yo parándome.,And I'm standing up.
43:04.880,43:07.208,¿Crees que él ha cruzado más límites que tú?,Do you think he's crossed more boundaries than you have?
43:07.304,43:11.112,"Sí, es que yo no me he puesto a guarrear delante de todo.","Yeah, it's just that I didn't start messing around in front of everything."
43:11.216,43:15.736,Ni me he puesto a guarrear en las hamacas ni nada.,I haven't even started messing around in the hammocks or anything.
43:15.768,43:17.480,Yo sí he tenido que guarrear.,I've had to get rid of it.
43:17.560,43:20.780,Lo he hecho en mi cama y encima he hecho poco.,"I've done it in my bed, and I've done little."
43:21.440,43:23.500,¿Cómo vas a actuar a partir de ahora?,How are you going to act from now on?
43:24.000,43:25.544,¿Cómo estoy haciéndolo?,How am I doing?
43:25.672,43:27.500,A mí Sergio me gusta.,I like Sergio.
43:28.320,43:31.086,"Sergio saca lo mejor de mí, Sandra.","Sergio gets the best out of me, Sandra."
43:31.278,43:33.970,Y voy a dejarme llevar.,And I'm gonna get carried away.
43:35.670,43:40.050,"Ruth, ver las imágenes de Marieta te han hecho recapacitar.","Ruth, seeing Marieta's images has made you think again."
43:40.710,43:45.850,"Le tendré que pedir disculpas en su vida y momento, cuando hable con él, por pensar que fue él.","I'll have to apologize to him in his life and moment, when he talks to him, for thinking it was him."
43:46.470,43:50.570,"Y como ya me ha quedado tocada, no quiero indagar más.","And as I've already been touched, I don't want to inquire any more."
43:52.710,43:58.168,"¿Marieta, no hay más imágenes para ti?","Marieta, no more pictures for you?"
43:58.344,43:59.940,No se podían haber más.,There could be no more.
44:00.640,44:04.620,"Pero Sandra le ha hecho lo mismo que me hace a mí, el mismo polvo.","But Sandra has done what she does to me, the same dust."
44:06.160,44:07.592,Ni ha innovado.,He hasn't innovated.
44:07.736,44:09.736,¿Y tú has innovado con Sergio?,And you've innovated with Sergio?
44:09.928,44:19.848,"Pues sí, algo diferente, por lo menos a las tío, cuando veo a Álex en ese contexto de guarreo, la verdad que no lo identifico.","Yes, something different, at least from the uncles, when I see Álex in this context of dirtyness, the truth that I do not identify him."
44:19.944,44:21.248,"O sea, conmigo no es así.","I mean, it's not like that with me."
44:21.344,44:29.220,Creo que es el Alex que no me quiere enseñar o no me ha querido enseñar en este año y medio y el que yo muchas veces le he pedido que me enseñara.,I think it is the Alex who does not want to teach me or who did not want to teach me this year and a half and I have asked him to teach me many times.
44:31.560,44:35.940,"Chicas, la hoguera aún no ha terminado.","Girls, the bonfire is not over yet."
44:39.080,44:41.140,Este es el collar del veto.,This is the veto collar.
44:42.760,44:51.302,Con él vais a poder vetar a una de las solteras durante 24 h para que no pueda mantener ningún tipo de contacto con vuestros novios.,With him you will be able to veto one of the singles for 24 hours so that she will not be able to maintain any contact with your boyfriends.
44:51.446,44:55.622,Va a tener que abandonar la villa durante todo un día.,He's going to have to leave the village for a whole day.
44:55.806,45:00.650,Y además es una oportunidad para mandar un mensaje a vuestros novios.,And it's also an opportunity to send a message to your boyfriends.
45:02.670,45:08.810,"Chicas, os dejo un tiempo para que decidáis qué soltera vais a vetar.","Girls, I'll give you some time to decide what single you're going to veto."
45:10.990,45:13.856,"La tuya, que es la más heavy, que va va de chulita.","Yours, which is the most heavy, which goes in the form of chulita."
45:13.888,45:17.136,"Hay que darle un poquito de yo, evidentemente, vetaría a Adriela.","You have to give him a little bit of me, obviously, he'd veto Adriela."
45:17.168,45:19.008,"Tía, a mí lo que digáis.","Auntie, whatever you say to me."
45:19.104,45:25.060,"Obviamente, quiero vetar a Gabriela porque me gustaría que Alex se acordara de mí en algún momento.","Obviously, I want to veto Gabriela because I would like Alex to remember me at some point."
45:25.800,45:26.992,Hay que darle un freno.,We have to give him a brake.
45:27.136,45:29.024,"Frena un poquito, Gabriela.","Slow down a bit, Gabriela."
45:29.072,45:37.280,"¿Entonces, igualmente, tenéis claro a qué soltera queréis vetar durante 24 h?","So, anyway, do you know which single man you want to veto for 24 hours?"
45:37.360,45:40.430,"Sí, sí, María.","Yes, yes, Maria."
45:40.930,45:45.706,Vamos a vetar a Gabriela porque es la que está más avanzada.,We're going to veto Gabriela because she's the most advanced.
45:45.818,45:51.018,"Y para mandarle también un mensaje a Alex, un poco un toque de atención, porque se está pasando la raya ya.","And to also send a message to Alex, a little bit of attention, because he's crossing the line already."
45:51.074,45:53.578,Y que se merece un castigo.,And that he deserves a punishment.
45:53.754,45:59.510,"Marieta, me gustaría ver si en esas 24 h echa más de menos a Gabriela o a mí.","Marieta, I'd like to see if you miss Gabriela or me more in those 24 hours."
46:01.570,46:03.962,"Chicas, acabáis de tomar una decisión.","Girls, you just made a decision."
46:04.026,46:06.878,Gabriela va a recibir el collar del Veto.,Gabriela's getting the Veto necklace.
46:07.054,46:11.170,Eso quiere decir que abandonará vía playa durante 24 h.,That means he'll leave by the beach for 24 hours.
46:11.590,46:23.890,"Pero por primera vez en la Isla de las Tentaciones, el Veto os va a dar el poder de enfrentaros cara a cara con la tentación.","But for the first time on the Isle of Temptations, the Veto will give you the power to face each other face to face with temptation."
46:26.070,46:27.054,No lo entiendo.,I don't understand.
46:27.182,46:27.774,No entendemos.,We don't understand.
46:27.822,46:28.206,Sandra.,Sandra.
46:28.238,46:31.232,Nos quedamos todas como muy pronto lo entenderéis.,We'll all stay as soon as you understand.
46:31.286,46:34.908,"Chicas, ahora sí, la hoguera ha terminado.","Girls, now yes, the bonfire is over."
46:34.924,46:36.092,Podéis marcharos.,You may go.
46:36.236,46:36.716,Gracias.,Thank you.
46:36.748,46:37.440,Gracias.,Thank you.
46:39.540,46:42.620,"Ya, por favor, a casa, porque Buenas noches.","Yes, please, go home, 'cause good night."
46:42.780,46:44.240,"Gracias, Sandra.","Thank you, Sandra."
46:45.300,46:46.268,Yo no puedo más.,I can't take it anymore.
46:46.324,46:47.436,"De verdad os lo digo, tío.","I'm telling you, man."
46:47.468,46:48.600,Yo no puedo más.,I can't take it anymore.
46:48.900,46:50.956,"No sé, la verdad que me he quedado rayadísima.","I don't know, the truth is, I've been so scratched."
46:50.988,46:52.332,No sé a qué se refería.,I don't know what you meant.
46:52.396,46:55.260,"¿Será lo de que ha entrado una chica nueva, no?","It's about a new girl coming in, isn't it?"
46:55.380,46:59.526,O que cuando a ver si la beta ni la van a mandar a casa.,Or when they're going to see if they're going to send her home.
46:59.718,47:00.966,Me he quedado bastante rayada.,I've been pretty scratched.
47:00.998,47:02.726,No sé a lo que nos vamos a enfrentar.,I don't know what we're going to face.
47:02.918,47:06.010,Espero que no sea ponerme delante a Gabriela.,I hope it's not putting me in front of Gabriela.
47:23.040,47:30.260,"Vayámonos de acá, a nuestro lugar feliz al lado del mar.","Let's get out of here, to our happy place by the sea."
47:31.920,47:36.216,Contigo no me falta bastante.,I'm not short enough with you.
47:36.248,47:37.460,"Mal, muy mal.","Bad, very bad."
47:44.000,47:44.920,"Tela, tela.","Fabric, cloth."
47:45.000,47:47.720,"Que empiece Nico, que es lo más flipante.","Let Nico begin, which is the wildest thing."
47:47.800,47:50.296,"Mismo plan que la anterior, que era, pero peor.","Same plan as the previous one, which was, but worse."
47:50.408,47:51.768,Ya es de mala persona.,It's bad enough.
47:51.944,47:59.256,"Empezó a poner voz de niño y niño Mi amor, cógete un librito y te prendes, que las islas Canarias son volcanes, no sé qué, metiéndose conmigo.","""My love, take a little book and light yourself, that the Canary Islands are volcanoes, I don't know what, messing with me."""
47:59.368,48:02.552,Está hablando de mí como si yo me hubiera follado aquí a las 10.,He's talking about me like I fucked here at 10.
48:02.616,48:04.728,"Pues qué lástima, hijo, que no lo hayas hecho.","Too bad, son, you didn't do it."
48:04.824,48:12.344,"Y ya para terminar de rematar, le ha dicho que Mariona es una tentación para ella, que le sigue.","And to finish, she told him that Mariona is a temptation for her, that she follows him."
48:12.392,48:15.950,"¿Sí, sí, pero a tu novia alguna vez había estado con chicas?","Yes, yes, but your girlfriend had ever been with girls?"
48:16.080,48:19.186,"No, no, espera.","No, no, wait."
48:19.298,48:22.898,Acabo de cortocircuitar la mía.,I just short-circuited mine.
48:22.994,48:23.794,Sigue en su línea.,He's still on his line.
48:23.842,48:28.370,"Se ha metido con el chaval para la habitación, se la ha tirado y poco más.","He's gone into the room with the kid, he's banged her, and a little bit more."
48:28.490,48:29.218,¿Y tú qué?,What about you?
48:29.274,48:36.498,"Yo le he pegado una pata, un cogonero, una antorcha de esas y pongo más.","I hit him with a leg, a cogonero, a torch of those, and I put more."
48:36.634,48:38.786,"O sea, que las alarmas rojas eran por ella.","I mean, the red alarms were for her."
48:38.818,48:39.298,Una era mía.,One was mine.
48:39.314,48:40.514,1 era suya.,1 was his.
48:40.642,48:41.750,¿Cómo que tuya?,"What do you mean, yours?"
48:43.140,48:44.320,La de la noche.,The one of the night.
48:44.980,48:46.524,¿Cómo qué ha hecho?,Like what did he do?
48:46.572,48:48.588,¿Se ha llevado al chaval a la cama?,Did you take the kid to bed?
48:48.764,48:49.676,"No, no.","No, no."
48:49.828,48:51.244,Le ha propuesto ir a dormir.,He proposed to go to sleep.
48:51.292,48:53.500,Y ahí se han acabado las imágenes.,And there the images are over.
48:53.580,48:56.156,Yéndose a dormir a la cama por la noche.,Going to bed at night.
48:56.268,48:56.764,Sí.,Yeah.
48:56.812,48:58.920,Y luego ha dicho otra cosa también.,"And then he said something else, too."
48:59.380,49:05.164,"Que no aguanta la relación a distancia, que le está superando y que no le costaría dejarlo.","That he can't stand the relationship at a distance, that he's getting over it, and that he wouldn't have trouble leaving it."
49:05.212,49:07.800,Que se lo tengo que dejar y ya está.,"That I have to leave it to him, and that's it."
49:09.760,49:10.968,Fuera el abrigo.,Out with your coat.
49:11.064,49:11.980,"¿Y tú, David?","What about you, David?"
49:12.560,49:12.872,¿Yo?,Me?
49:12.896,49:14.472,Mi novia ha vuelto a cambiar de soltero.,My girlfriend's changed bachelor again.
49:14.536,49:15.704,Ya le metió a Álvaro.,He's already in on Álvaro.
49:15.752,49:16.792,Álvaro Beuys.,Álvaro Beuys.
49:16.856,49:20.460,"No, no te creo que está Álvaro aquí.","No, I don't believe Álvaro's here."
49:21.600,49:22.620,¿No te preocup?,Don't you care?
49:23.200,49:24.136,La verdad que me preocupa.,The truth that worries me.
49:24.168,49:28.780,"-10 si tenía un 1 % de duda de que podía caer con el italiano, ahora ya tengo cero.","-10 if I had a 1% doubt that I could fall with the Italian, now I have zero."
49:29.200,49:34.172,"Brujita, las mías han sido más preocupantes que la última vez.","Witch, mine have been more worrying than last time."
49:34.256,49:35.844,Sí que se va acercando más.,It's getting closer.
49:35.932,49:37.796,Está muy cerca aquí y tal.,It's very close here and so on.
49:37.868,49:39.956,Todo el rato ahí y poco más.,All the time there and little more.
49:40.028,49:45.108,"Y luego nos han dicho de vetar a uno, que me han vetado Álvaro, los cabrones.","And then they have told us to veto one, that Álvaro, the bastards, have vetoed me."
49:45.124,49:46.040,Yo no quería.,I didn't want to.
49:46.460,49:49.400,Pobre chico que acaba de llevar.,Poor boy you just took with you.
49:50.540,49:56.356,Hemos vetado a Álvaro porque tanto Adrián como yo queremos ver hasta dónde llegan nuestras novias.,We have vetoed Álvaro because both Adrian and I want to see how far our girlfriends go.
49:56.468,49:59.156,La de Nico no tiene sentido porque no hay acercamiento.,Nico's doesn't make sense because there's no approach.
49:59.268,50:02.220,"Y Álex, su novia Marietta ya ha caído.","And Alex, his girlfriend Marietta has already fallen."
50:09.920,50:10.952,Buenas.,Hello.
50:11.096,50:12.360,"Hola, niños.","Hello, children."
50:12.440,50:13.112,Hola.,Hello.
50:13.256,50:14.100,¿Qué tal?,What's up?
50:14.400,50:15.940,Os veo bien a todos.,You all look good.
50:17.760,50:18.840,¿Quién empieza?,Who's starting?
50:19.000,50:20.872,"Venga, Mariona, que quiero escucharla, por favor.","Come on, Mariona, I want to hear it, please."
50:20.936,50:24.300,"A ver, Adri ha cambiado de soltera.",Adri has changed her maiden.
50:25.360,50:31.768,"Ahora está con Mónica y le veo conexión, cosa que no me esperaba.","Now she's with Monica, and I see her connection, which I didn't expect."
50:31.864,50:38.460,Y ha dicho algo tipo de que nunca se había planteado ser infiel hasta ahora.,And he said something like that he had never thought of being unfaithful until now.
50:39.280,50:42.120,Ha dicho David.,David said.
50:42.280,50:44.184,Pues David en su línea.,"Well, David on his line."
50:44.312,50:46.088,Tonterías con Zaira.,Nonsense with Zaira.
50:46.184,50:51.976,Pero lo que me ha dolido es que ella ha entrado a la habitación de él y se ha puesto a jugar con el peluche.,But what hurt me is that she went into his room and started playing with the teddy.
50:52.008,50:54.862,Que vaya falta de respeto.,Let that be disrespectful.
50:55.006,50:59.890,"Yo espero que cuando vea esas imágenes la ponga en su sitio, porque si no vamos a tener un problema.","I hope that when I see these images I will put it in place, because if we are not going to have a problem."
51:00.870,51:01.598,¿Y tú qué?,What about you?
51:01.654,51:02.878,Guarreo tras guarreo.,Garreo after rascal.
51:02.894,51:04.350,En todos los vídeos se ve por detrás.,In all the videos you can see from behind.
51:04.430,51:06.382,"Guarreo, guarreo.","Guarreo, rascal."
51:06.446,51:07.730,No he visto una mirada.,I haven't seen a look.
51:08.150,51:09.710,Son las imágenes que hemos visto.,These are the images we've seen.
51:09.790,51:10.450,Sí.,Yeah.
51:11.030,51:12.910,Habéis visto vosotras en la colina.,You've seen it on the hill.
